mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	0
mut5	0.993379	0.991377	0.991333	0.986073	0.992618	0.991668	0.993264	0.992968	0.991141	0.991346	1
mut6	0.993379	0.991377	0.991333	0.986073	0.992618	0.991668	0.993264	0.992968	0.991141	0.991346	1
mut7	0.993379	0.991377	0.991333	0.986073	0.992618	0.991668	0.993264	0.992968	0.991141	0.991346	1
mut8	0.993379	0.991377	0.991333	0.986073	0.992618	0.991668	0.993264	0.992968	0.991141	0.991346	1
mut9	0.993379	0.991377	0.991333	0.986073	0.992618	0.991668	0.993264	0.992968	0.991141	0.991346	1
mut10	0.72837	0.222127	0.643386	0.131221	0.804107	0.0695292	0.736564	0.167374	0.879419	0.101349	2
mut11	0.72837	0.222127	0.643386	0.131221	0.804107	0.0695292	0.736564	0.167374	0.879419	0.101349	2
mut12	0.72837	0.222127	0.643386	0.131221	0.804107	0.0695292	0.736564	0.167374	0.879419	0.101349	2
mut13	0.72837	0.222127	0.643386	0.131221	0.804107	0.0695292	0.736564	0.167374	0.879419	0.101349	2
mut14	0.72837	0.222127	0.643386	0.131221	0.804107	0.0695292	0.736564	0.167374	0.879419	0.101349	2
mut15	0.105719	0.592402	0.130727	0.569034	0.0774834	0.864872	0.132846	0.734103	0.0725984	0.66401	3
mut16	0.105719	0.592402	0.130727	0.569034	0.0774834	0.864872	0.132846	0.734103	0.0725984	0.66401	3
mut17	0.105719	0.592402	0.130727	0.569034	0.0774834	0.864872	0.132846	0.734103	0.0725984	0.66401	3
mut18	0.105719	0.592402	0.130727	0.569034	0.0774834	0.864872	0.132846	0.734103	0.0725984	0.66401	3
mut19	0.105719	0.592402	0.130727	0.569034	0.0774834	0.864872	0.132846	0.734103	0.0725984	0.66401	3
