clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	0.9998	0.910987	1	0.907165	0.973322	0.96907	1	1	0.906138	0.934845	0.991327	1	0.971601	1
1	0.402987	0.00844578	0.00839853	0.00395613	0.0119708	0.0208941	0.0163115	0.00658926	0.0117596	0.0264412	0.543547	0.178522	0.00851615	0.00647629	0.0219782
2	0.530283	0.760814	0.01843	0.0473435	0.0265843	0.350364	0.673864	0.0197272	0.0712976	0.0508278	0.354401	0.713694	0.0170776	0.0138861	0.0523202
3	0.312175	0.718339	0.0105816	0.0354857	0.0120668	0.038359	0.633773	0.0142212	0.0680092	0.0284424	0.224003	0.331501	0.00748584	0.00697442	0.026181
4	0.0518899	0.228313	0.903047	0.908284	0.689475	0.34398	0.346282	1	0.858904	0.159671	0.0631585	0.0542423	0.958678	1	0.309272
5	0.039578	0.225955	0.975616	0.847753	0.28293	0.115856	0.288078	0.9449	0.939221	0.142535	0.0504922	0.0416587	0.982504	0.958951	0.264591
6	0.0169841	0.11655	0.223763	0.878512	0.0225834	0.0366808	0.242896	0.428898	0.836203	0.044261	0.024222	0.0184359	0.0307277	0.873472	0.0520982
7	0.0145845	0.0191444	0.733601	0.0389264	0.0296682	0.0385405	0.0371579	0.412354	0.0280633	0.0564769	0.0215621	0.0152139	1	0.12251	0.0948432
8	0.0071795	0.00785021	0.489956	0.0111229	0.0132561	0.0207281	0.018608	0.112575	0.0142279	0.025567	0.0129153	0.00777695	0.413625	0.0535665	0.0252756
9	0.00656911	0.00992816	0.176532	0.214863	0.0101219	0.0175942	0.0181851	0.139509	0.112108	0.0219744	0.0105759	0.00934939	0.0152363	0.34368	0.0244321
10	0.00636454	0.0077876	0.00847556	0.0043617	0.168477	0.0185677	0.0177156	0.00810136	0.0130826	0.722065	0.0100661	0.00846986	0.00764718	0.00621254	0.55561
