clusterID	sample0	sample1	sample2	sample3	sample4
0	0.987473	1	1	0.976915	0.961497
1	0.604141	0.00873736	0.00543316	0.00703217	0.0797769
2	0.373287	0.960076	0.950044	0.937961	0.85912
3	0.35004	1	0.928742	1	0.810304
4	0.276886	0.292344	0.855516	0.945195	0.617706
5	0.183263	0.0423623	0.0879094	0.940794	0.40597
6	0.134454	0.0273363	0.0196738	0.642719	0.315566
7	0.0399684	0.602418	0.01855	0.00828878	0.0743514
8	0.040121	0.146452	0.192181	0.0168416	0.0915381
9	0.0955444	0.0168052	0.0105869	0.0760559	0.200853
10	0.0446658	0.0084324	0.00495671	0.00844056	0.126764
