clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	0.912568	1	1	0.988188	0.962935	1	1	0.99308	1	0.904066	0.929	0.961434	1	1	1
1	0.0445391	0.0108458	0.00652859	0.235568	0.0156553	0.0177152	0.4818	0.00993164	0.0211555	0.0207578	0.0147471	0.0201203	0.0152859	0.00732902	0.0305613
2	0.894595	0.982716	1	0.69643	1	0.939272	0.446896	0.930708	0.953226	0.983143	0.927524	1	0.985553	1	0.865825
3	0.799865	0.0964954	0.93846	0.0863903	0.922695	0.898815	0.396232	0.225264	0.969755	0.909742	0.897706	0.892077	0.869483	0.258245	0.819577
4	0.027737	0.604375	0.00750086	0.0255107	0.014886	0.0172318	0.0348669	0.682539	0.0203303	0.028851	0.0113308	0.0235782	0.0137541	0.720496	0.025114
5	0.747313	0.0656995	0.345757	0.0756665	0.936242	0.725189	0.262025	0.061183	0.430373	0.158867	0.832018	0.843677	0.763514	0.06214	0.289087
6	0.0963422	0.0262136	0.595626	0.0125374	0.0467663	0.164415	0.0984277	0.140453	0.528545	0.742153	0.035918	0.0650243	0.0430437	0.187006	0.530997
7	0.221264	0.0522094	0.298999	0.0712055	0.7767	0.749296	0.189472	0.0579492	0.406932	0.142515	0.764997	0.751244	0.117583	0.048876	0.281424
8	0.0723391	0.018991	0.492392	0.00834017	0.0290969	0.150567	0.0698092	0.0286722	0.442868	0.449929	0.0228113	0.0418916	0.0261568	0.0230544	0.442909
9	0.102948	0.027785	0.025206	0.0577042	0.0678597	0.140102	0.0988139	0.0307404	0.0664702	0.0673841	0.0454007	0.665526	0.0384798	0.0233229	0.0872406
10	0.0358057	0.0089614	0.0686003	0.00394047	0.0172286	0.120527	0.0331878	0.00909911	0.433073	0.0325966	0.0129459	0.0212822	0.0136095	0.00704143	0.0564015
11	0.0289311	0.271004	0.00593092	0.595855	0.0158931	0.0170491	0.0314621	0.0400737	0.0189684	0.0220676	0.0117976	0.0221017	0.0149528	0.0231855	0.0282482
12	0.0662206	0.0205119	0.0762342	0.00878082	0.729106	0.496267	0.0743187	0.0185921	0.303565	0.0437496	0.0313222	0.0620428	0.0275231	0.0152741	0.0953324
13	0.0368683	0.00906827	0.00727302	0.00440522	0.699399	0.0547715	0.0327607	0.00798461	0.120733	0.0261843	0.0117761	0.0320451	0.0155462	0.00778422	0.0307023
14	0.0718641	0.0183666	0.0131486	0.0503678	0.0430392	0.0467941	0.0709285	0.0186492	0.0474496	0.0456209	0.0261867	0.598663	0.0249609	0.0179082	0.0609189
15	0.0309506	0.0107284	0.00685244	0.0418586	0.0139663	0.0202062	0.0341256	0.0106044	0.0192847	0.0233984	0.0131108	0.0585497	0.0121945	0.008691	0.0313056
