clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.953421	1	0.951234	1	0.994629	0.938811	1	0.929681	1	0.969024
1	0.0244912	0.0274854	0.0451355	0.023148	0.107583	0.137132	0.0818247	0.437577	0.0336647	0.0245142
2	0.0181996	0.0170791	0.0319529	0.0950008	0.0809959	0.0105933	0.0191098	0.387852	0.021285	0.0146392
3	0.992254	0.864027	0.828891	0.816908	0.734234	0.787813	0.837678	0.16342	1	0.94581
4	0.394282	0.518752	0.822738	0.0338733	0.216232	0.0386919	0.0416866	0.133055	0.744704	0.0404262
5	0.019903	0.0813089	0.496264	0.0142955	0.0875033	0.0249442	0.0197107	0.0736073	0.351256	0.0165534
6	0.378921	0.374727	0.177172	0.00800315	0.090923	0.00482758	0.0114416	0.00472612	0.33775	0.0169149
7	0.443134	0.402079	0.0513429	0.855213	0.371367	0.33657	0.111397	0.019148	0.0413543	0.795609
8	0.0160118	0.0174079	0.0276326	0.0138716	0.0745477	0.102928	0.0684469	0.345962	0.0252931	0.0145995
9	0.352719	0.348712	0.0122039	0.0593086	0.228376	0.019019	0.00955043	0.00475911	0.0121498	0.659408
10	0.00819215	0.00919173	0.0123014	0.00709039	0.0356594	0.0712226	0.0301294	0.213061	0.0130813	0.00728985
11	0.0693115	0.0210502	0.0254911	0.670257	0.0935328	0.259964	0.087876	0.00970088	0.0220044	0.146875
12	0.0177207	0.00972359	0.0141576	0.467441	0.0438907	0.0601798	0.0400088	0.00539736	0.0118061	0.0498039
13	0.00819819	0.0458874	0.0293756	0.00706509	0.0383911	0.0210209	0.00941206	0.0389365	0.0212238	0.00715489
14	0.0189644	0.019953	0.0329453	0.0186961	0.0904006	0.471465	0.396168	0.00894284	0.0203485	0.0168126
15	0.00953761	0.00915448	0.0153637	0.00911963	0.0404954	0.400597	0.385636	0.00500235	0.0102025	0.00924792
16	0.0177958	0.0375468	0.0252027	0.0148239	0.0800886	0.0143223	0.324418	0.0203768	0.0397667	0.0158356
17	0.00885109	0.0298507	0.0134165	0.00806707	0.0396012	0.00859595	0.28916	0.013888	0.0104311	0.00849475
18	0.00960428	0.00924785	0.0154872	0.0704537	0.0360497	0.00472933	0.0103114	0.32884	0.0105248	0.007334
