clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	1	1	0.900589	1	1	1	0.916174	1	1
1	0.0735622	0.197492	0.193755	0.881655	0.14611	0.20041	0.148699	0.0907705	0.185769	0.297831
2	0.901589	0.67339	0.722953	0.0424451	0.116573	0.046172	0.837657	0.0817829	0.67255	0.574661
3	0.842432	0.736298	0.680391	0.033218	0.113005	0.0421364	0.651413	0.0794963	0.764154	0.66483
4	0.911989	0.712589	0.134106	0.0212037	0.0428465	0.0236289	0.202422	0.0469736	0.723244	0.519529
5	0.837776	0.59403	0.0972932	0.0158957	0.0286477	0.0180363	0.0504319	0.0363144	0.645349	0.576913
6	0.576446	0.133473	0.0255211	0.00500908	0.0114703	0.00645102	0.0156355	0.0134083	0.0650484	0.465286
7	0.108736	0.0279841	0.0328205	0.00573702	0.0100159	0.00501564	0.016394	0.0107026	0.0258746	0.0191305
8	0.00643971	0.0144456	0.527766	0.00541282	0.0628751	0.0152414	0.0256325	0.0129048	0.0173471	0.0171551
9	0.0173134	0.0397177	0.0719595	0.626714	0.108274	0.0185358	0.0526685	0.0366974	0.0996483	0.0519235
10	0.0191453	0.0418276	0.0742673	0.0181622	0.659311	0.79375	0.0480011	0.638348	0.0549576	0.0564749
11	0.00589229	0.0145851	0.0270775	0.480741	0.00991152	0.00593805	0.0202305	0.0133345	0.0170977	0.0192256
12	0.00659723	0.0137678	0.0247364	0.00611874	0.612775	0.295708	0.0151585	0.0304246	0.0182071	0.0214349
13	0.00641268	0.0147211	0.0260451	0.00518489	0.0118345	0.4379	0.0146769	0.291206	0.0192804	0.0179665
14	0.00621856	0.0134324	0.0231249	0.107464	0.101191	0.00678471	0.0176697	0.0101725	0.059091	0.0195069
15	0.0406474	0.0347115	0.0244552	0.00574629	0.00988602	0.00615935	0.015081	0.177816	0.0177472	0.0173011
16	0.0416213	0.14016	0.101895	0.363138	0.0337016	0.170421	0.0597465	0.0501246	0.0750238	0.21012
17	0.0384756	0.150885	0.0756045	0.277877	0.0270191	0.1549	0.0518123	0.0323688	0.0639973	0.193462
18	0.0324574	0.124506	0.0481021	0.17371	0.018202	0.128078	0.0318632	0.0238547	0.0423896	0.173283
19	0.0205061	0.0318932	0.0258486	0.108156	0.00812818	0.0747517	0.0178312	0.0128625	0.0219172	0.100304
