clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	0.949853	1	0.900438
1	0.191917	0.149856	0.0117781	0.0262382	0.197657
2	0.547475	0.155915	0.752264	0.682979	0.360214
3	0.520905	0.103467	0.780838	0.666052	0.0897251
4	0.0347531	0.243107	0.0965266	0.0318079	0.00977925
5	0.134985	0.415449	0.0460345	0.187479	0.394879
6	0.305549	0.111362	0.777075	0.59868	0.0926966
7	0.234219	0.0797274	0.241646	0.519773	0.0657724
8	0.0668239	0.0209506	0.0778054	0.0626576	0.272777
9	0.130149	0.0541566	0.225218	0.137493	0.0461752
10	0.103628	0.369287	0.0363236	0.174633	0.337253
11	0.0724838	0.270403	0.0238484	0.121763	0.346555
12	0.038463	0.0100562	0.405962	0.0656433	0.0186519
13	0.0988426	0.046485	0.20638	0.0623902	0.036551
14	0.0644796	0.0372619	0.123496	0.0257091	0.0272213
15	0.0360191	0.148679	0.0137763	0.0923095	0.242754
16	0.032881	0.0106268	0.0728038	0.0327294	0.240797
17	0.0408573	0.0110918	0.0180969	0.27736	0.00823157
