mutID	sample0	sample1	sample2	sample3	sample4	clusterID
mut0	1	1	0.949853	1	0.900438	0
mut1	1	1	0.949853	1	0.900438	0
mut2	1	1	0.949853	1	0.900438	0
mut3	1	1	0.949853	1	0.900438	0
mut4	1	1	0.949853	1	0.900438	0
mut5	0.191917	0.149856	0.0117781	0.0262382	0.197657	1
mut6	0.191917	0.149856	0.0117781	0.0262382	0.197657	1
mut7	0.191917	0.149856	0.0117781	0.0262382	0.197657	1
mut8	0.191917	0.149856	0.0117781	0.0262382	0.197657	1
mut9	0.191917	0.149856	0.0117781	0.0262382	0.197657	1
mut10	0.547475	0.155915	0.752264	0.682979	0.360214	2
mut11	0.547475	0.155915	0.752264	0.682979	0.360214	2
mut12	0.547475	0.155915	0.752264	0.682979	0.360214	2
mut13	0.547475	0.155915	0.752264	0.682979	0.360214	2
mut14	0.547475	0.155915	0.752264	0.682979	0.360214	2
mut15	0.520905	0.103467	0.780838	0.666052	0.0897251	3
mut16	0.520905	0.103467	0.780838	0.666052	0.0897251	3
mut17	0.520905	0.103467	0.780838	0.666052	0.0897251	3
mut18	0.520905	0.103467	0.780838	0.666052	0.0897251	3
mut19	0.520905	0.103467	0.780838	0.666052	0.0897251	3
mut20	0.0347531	0.243107	0.0965266	0.0318079	0.00977925	4
mut21	0.0347531	0.243107	0.0965266	0.0318079	0.00977925	4
mut22	0.0347531	0.243107	0.0965266	0.0318079	0.00977925	4
mut23	0.0347531	0.243107	0.0965266	0.0318079	0.00977925	4
mut24	0.0347531	0.243107	0.0965266	0.0318079	0.00977925	4
mut25	0.134985	0.415449	0.0460345	0.187479	0.394879	5
mut26	0.134985	0.415449	0.0460345	0.187479	0.394879	5
mut27	0.134985	0.415449	0.0460345	0.187479	0.394879	5
mut28	0.134985	0.415449	0.0460345	0.187479	0.394879	5
mut29	0.134985	0.415449	0.0460345	0.187479	0.394879	5
mut30	0.305549	0.111362	0.777075	0.59868	0.0926966	6
mut31	0.305549	0.111362	0.777075	0.59868	0.0926966	6
mut32	0.305549	0.111362	0.777075	0.59868	0.0926966	6
mut33	0.305549	0.111362	0.777075	0.59868	0.0926966	6
mut34	0.305549	0.111362	0.777075	0.59868	0.0926966	6
mut35	0.234219	0.0797274	0.241646	0.519773	0.0657724	7
