mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	0
mut5	0.994291	0.991837	0.989573	0.99157	0.993681	0.994232	0.993962	0.99175	0.994363	0.989654	1
mut6	0.994291	0.991837	0.989573	0.99157	0.993681	0.994232	0.993962	0.99175	0.994363	0.989654	1
mut7	0.994291	0.991837	0.989573	0.99157	0.993681	0.994232	0.993962	0.99175	0.994363	0.989654	1
mut8	0.994291	0.991837	0.989573	0.99157	0.993681	0.994232	0.993962	0.99175	0.994363	0.989654	1
mut9	0.994291	0.991837	0.989573	0.99157	0.993681	0.994232	0.993962	0.99175	0.994363	0.989654	1
mut10	0.988724	0.983773	0.963081	0.975675	0.985864	0.986767	0.981743	0.969485	0.971148	0.97808	2
mut11	0.988724	0.983773	0.963081	0.975675	0.985864	0.986767	0.981743	0.969485	0.971148	0.97808	2
mut12	0.988724	0.983773	0.963081	0.975675	0.985864	0.986767	0.981743	0.969485	0.971148	0.97808	2
mut13	0.988724	0.983773	0.963081	0.975675	0.985864	0.986767	0.981743	0.969485	0.971148	0.97808	2
mut14	0.988724	0.983773	0.963081	0.975675	0.985864	0.986767	0.981743	0.969485	0.971148	0.97808	2
