mutID	sample0	sample1	sample2	sample3	sample4	clusterID
mut0	1	0.912533	0.959202	0.91977	0.90172	0
mut1	1	0.912533	0.959202	0.91977	0.90172	0
mut2	1	0.912533	0.959202	0.91977	0.90172	0
mut3	1	0.912533	0.959202	0.91977	0.90172	0
mut4	1	0.912533	0.959202	0.91977	0.90172	0
mut5	0.643516	0.0986849	0.0312677	0.0662651	0.104963	1
mut6	0.643516	0.0986849	0.0312677	0.0662651	0.104963	1
mut7	0.643516	0.0986849	0.0312677	0.0662651	0.104963	1
mut8	0.643516	0.0986849	0.0312677	0.0662651	0.104963	1
mut9	0.643516	0.0986849	0.0312677	0.0662651	0.104963	1
mut10	0.411696	0.895293	0.893369	0.828636	0.859686	2
mut11	0.411696	0.895293	0.893369	0.828636	0.859686	2
mut12	0.411696	0.895293	0.893369	0.828636	0.859686	2
mut13	0.411696	0.895293	0.893369	0.828636	0.859686	2
mut14	0.411696	0.895293	0.893369	0.828636	0.859686	2
mut15	0.3942	0.945686	1	0.912888	0.852329	3
mut16	0.3942	0.945686	1	0.912888	0.852329	3
mut17	0.3942	0.945686	1	0.912888	0.852329	3
mut18	0.3942	0.945686	1	0.912888	0.852329	3
mut19	0.3942	0.945686	1	0.912888	0.852329	3
mut20	0.179453	0.796308	0.926339	0.87179	0.724265	4
mut21	0.179453	0.796308	0.926339	0.87179	0.724265	4
mut22	0.179453	0.796308	0.926339	0.87179	0.724265	4
mut23	0.179453	0.796308	0.926339	0.87179	0.724265	4
mut24	0.179453	0.796308	0.926339	0.87179	0.724265	4
mut25	0.0313373	0.203181	0.0344286	0.0257679	0.130382	5
mut26	0.0313373	0.203181	0.0344286	0.0257679	0.130382	5
mut27	0.0313373	0.203181	0.0344286	0.0257679	0.130382	5
mut28	0.0313373	0.203181	0.0344286	0.0257679	0.130382	5
mut29	0.0313373	0.203181	0.0344286	0.0257679	0.130382	5
mut30	0.067052	0.457496	0.516938	0.119641	0.0601047	6
mut31	0.067052	0.457496	0.516938	0.119641	0.0601047	6
mut32	0.067052	0.457496	0.516938	0.119641	0.0601047	6
mut33	0.067052	0.457496	0.516938	0.119641	0.0601047	6
mut34	0.067052	0.457496	0.516938	0.119641	0.0601047	6
mut35	0.0401472	0.427773	0.499966	0.111469	0.0512687	7
mut36	0.0401472	0.427773	0.499966	0.111469	0.0512687	7
mut37	0.0401472	0.427773	0.499966	0.111469	0.0512687	7
mut38	0.0401472	0.427773	0.499966	0.111469	0.0512687	7
mut39	0.0401472	0.427773	0.499966	0.111469	0.0512687	7
mut40	0.0132961	0.221726	0.0167648	0.0121853	0.0722708	8
mut41	0.0132961	0.221726	0.0167648	0.0121853	0.0722708	8
mut42	0.0132961	0.221726	0.0167648	0.0121853	0.0722708	8
mut43	0.0132961	0.221726	0.0167648	0.0121853	0.0722708	8
mut44	0.0132961	0.221726	0.0167648	0.0121853	0.0722708	8
mut45	0.0334707	0.206703	0.0855363	0.0943221	0.0519333	9
mut46	0.0334707	0.206703	0.0855363	0.0943221	0.0519333	9
mut47	0.0334707	0.206703	0.0855363	0.0943221	0.0519333	9
mut48	0.0334707	0.206703	0.0855363	0.0943221	0.0519333	9
mut49	0.0334707	0.206703	0.0855363	0.0943221	0.0519333	9
mut50	0.0642277	0.0595794	0.324549	0.66058	0.337961	10
mut51	0.0642277	0.0595794	0.324549	0.66058	0.337961	10
mut52	0.0642277	0.0595794	0.324549	0.66058	0.337961	10
mut53	0.0642277	0.0595794	0.324549	0.66058	0.337961	10
mut54	0.0642277	0.0595794	0.324549	0.66058	0.337961	10
mut55	0.0361427	0.0245458	0.178171	0.593728	0.0213646	11
mut56	0.0361427	0.0245458	0.178171	0.593728	0.0213646	11
mut57	0.0361427	0.0245458	0.178171	0.593728	0.0213646	11
mut58	0.0361427	0.0245458	0.178171	0.593728	0.0213646	11
mut59	0.0361427	0.0245458	0.178171	0.593728	0.0213646	11
mut60	0.0098007	0.0102772	0.091285	0.240866	0.00602007	12
mut61	0.0098007	0.0102772	0.091285	0.240866	0.00602007	12
mut62	0.0098007	0.0102772	0.091285	0.240866	0.00602007	12
mut63	0.0098007	0.0102772	0.091285	0.240866	0.00602007	12
mut64	0.0098007	0.0102772	0.091285	0.240866	0.00602007	12
mut65	0.0213482	0.0837163	0.0340761	0.0731032	0.0416301	13
mut66	0.0213482	0.0837163	0.0340761	0.0731032	0.0416301	13
mut67	0.0213482	0.0837163	0.0340761	0.0731032	0.0416301	13
mut68	0.0213482	0.0837163	0.0340761	0.0731032	0.0416301	13
mut69	0.0213482	0.0837163	0.0340761	0.0731032	0.0416301	13
mut70	0.0119474	0.0714067	0.0150427	0.0137491	0.198039	14
mut71	0.0119474	0.0714067	0.0150427	0.0137491	0.198039	14
mut72	0.0119474	0.0714067	0.0150427	0.0137491	0.198039	14
mut73	0.0119474	0.0714067	0.0150427	0.0137491	0.198039	14
mut74	0.0119474	0.0714067	0.0150427	0.0137491	0.198039	14
mut75	0.0107049	0.00679123	0.0640771	0.0386408	0.153	15
mut76	0.0107049	0.00679123	0.0640771	0.0386408	0.153	15
mut77	0.0107049	0.00679123	0.0640771	0.0386408	0.153	15
mut78	0.0107049	0.00679123	0.0640771	0.0386408	0.153	15
mut79	0.0107049	0.00679123	0.0640771	0.0386408	0.153	15
mut80	0.0123419	0.0210331	0.0348494	0.0114124	0.167067	16
mut81	0.0123419	0.0210331	0.0348494	0.0114124	0.167067	16
mut82	0.0123419	0.0210331	0.0348494	0.0114124	0.167067	16
mut83	0.0123419	0.0210331	0.0348494	0.0114124	0.167067	16
mut84	0.0123419	0.0210331	0.0348494	0.0114124	0.167067	16
mut85	0.0115746	0.00581631	0.0151636	0.258622	0.00683531	17
mut86	0.0115746	0.00581631	0.0151636	0.258622	0.00683531	17
mut87	0.0115746	0.00581631	0.0151636	0.258622	0.00683531	17
mut88	0.0115746	0.00581631	0.0151636	0.258622	0.00683531	17
mut89	0.0115746	0.00581631	0.0151636	0.258622	0.00683531	17
mut90	0.193568	0.0799478	0.014052	0.0688927	0.124348	18
mut91	0.193568	0.0799478	0.014052	0.0688927	0.124348	18
mut92	0.193568	0.0799478	0.014052	0.0688927	0.124348	18
mut93	0.193568	0.0799478	0.014052	0.0688927	0.124348	18
mut94	0.193568	0.0799478	0.014052	0.0688927	0.124348	18
