clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.912533	0.959202	0.91977	0.90172
1	0.643516	0.0986849	0.0312677	0.0662651	0.104963
2	0.411696	0.895293	0.893369	0.828636	0.859686
3	0.3942	0.945686	1	0.912888	0.852329
4	0.179453	0.796308	0.926339	0.87179	0.724265
5	0.0313373	0.203181	0.0344286	0.0257679	0.130382
6	0.067052	0.457496	0.516938	0.119641	0.0601047
7	0.0401472	0.427773	0.499966	0.111469	0.0512687
8	0.0132961	0.221726	0.0167648	0.0121853	0.0722708
9	0.0334707	0.206703	0.0855363	0.0943221	0.0519333
10	0.0642277	0.0595794	0.324549	0.66058	0.337961
11	0.0361427	0.0245458	0.178171	0.593728	0.0213646
12	0.0098007	0.0102772	0.091285	0.240866	0.00602007
13	0.0213482	0.0837163	0.0340761	0.0731032	0.0416301
14	0.0119474	0.0714067	0.0150427	0.0137491	0.198039
15	0.0107049	0.00679123	0.0640771	0.0386408	0.153
16	0.0123419	0.0210331	0.0348494	0.0114124	0.167067
17	0.0115746	0.00581631	0.0151636	0.258622	0.00683531
18	0.193568	0.0799478	0.014052	0.0688927	0.124348
