clusterID	sample0	sample1	sample2	sample3	sample4
0	0.970328	0.977099	0.928032	1	1
1	0.532402	0.826251	0.858464	0.857791	0.911572
2	0.438029	0.0871189	0.0321256	0.0450472	0.0203114
3	0.182595	0.767202	0.699032	0.648038	0.366778
4	0.17175	0.854794	0.713942	0.5308	0.369462
5	0.172609	0.781511	0.618047	0.585231	0.327077
6	0.171857	0.69501	0.369626	0.519263	0.29856
7	0.0989199	0.586583	0.221034	0.397364	0.215955
8	0.323601	0.0773509	0.221624	0.22183	0.584548
9	0.0452673	0.0860078	0.0268023	0.059661	0.0239809
10	0.149939	0.0150076	0.101576	0.0408742	0.0352629
11	0.00888834	0.0307298	0.0605874	0.0910865	0.40029
12	0.169081	0.0152407	0.0306018	0.0465465	0.0578596
13	0.044732	0.498794	0.154148	0.268074	0.159641
14	0.0135762	0.322094	0.0873665	0.193019	0.0944038
15	0.00388811	0.0170997	0.0329793	0.049977	0.401313
16	0.00814966	0.183594	0.064441	0.142635	0.0805906
17	0.0637776	0.0810439	0.0871727	0.0432561	0.0675613
18	0.0291316	0.114515	0.0296713	0.0479832	0.0380602
19	0.00451986	0.090402	0.0306043	0.103693	0.0493569
