clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	1
1	0.942955	0.926885	1	0.898353	1
2	0.547122	0.113004	0.919037	0.849011	0.876124
3	0.521759	0.110824	0.81915	0.822147	0.829364
4	0.0709285	0.0946649	0.787027	0.771662	0.794143
5	0.044634	0.0790183	0.0915141	0.0679744	0.719975
6	0.0366773	0.0356196	0.0179	0.0381933	0.239339
7	0.440966	0.00432861	0.00894074	0.0102271	0.0105847
8	0.0182571	0.0188122	0.00959989	0.0254916	0.143322
9	0.0104397	0.0102547	0.671541	0.0808634	0.0352033
10	0.470753	0.833565	0.151892	0.159606	0.128341
11	0.202184	0.363422	0.0360754	0.0216666	0.0688593
12	0.0051176	0.00438961	0.673667	0.0177661	0.0251092
13	0.010581	0.0372415	0.0618774	0.0187905	0.492531
14	0.0113586	0.00458309	0.0101971	0.600674	0.0085146
15	0.191026	0.354873	0.0948461	0.10864	0.040459
16	0.00567155	0.0206418	0.0148267	0.0100696	0.359547
17	0.130917	0.159486	0.0286736	0.0110627	0.0573594
18	0.12016	0.191963	0.0894703	0.0733743	0.0222045
