clusterID	sample0	sample1	sample2	sample3	sample4
0	0.953902	0.999725	0.934558	0.965365	1
1	0.859433	0.927149	0.772992	0.371231	0.924286
2	0.78941	0.847037	0.712219	0.414657	0.902006
3	0.811913	0.785102	0.512304	0.125011	0.782324
4	0.0883021	0.0414292	0.230647	0.575363	0.0943544
5	0.832664	0.736599	0.50482	0.116845	0.86103
6	0.450204	0.0205631	0.10744	0.0619485	0.0523861
7	0.225956	0.0112921	0.0516985	0.0425553	0.0247312
8	0.0688291	0.0309853	0.168928	0.525384	0.0696651
9	0.306615	0.105044	0.126951	0.0303925	0.569972
10	0.0292121	0.549035	0.118662	0.0152506	0.0923553
11	0.0217208	0.153952	0.0645795	0.264162	0.0237602
12	0.0496527	0.0221008	0.112625	0.588859	0.0474265
13	0.024436	0.0103613	0.0570837	0.573904	0.0234339
14	0.167096	0.02006	0.0560051	0.0132013	0.3602
