clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	1	1	1	1	1	1	1	1	1
1	0.558074	0.0159893	0.0680828	0.0161608	0.0097082	0.124536	0.0105009	0.045661	0.00703282	0.0168611
2	0.302601	0.947852	0.491961	0.949013	0.97119	0.789922	0.968806	0.439982	0.978365	0.954199
3	0.112865	0.929425	0.429947	0.933233	0.961021	0.7292	0.957839	0.384379	0.971723	0.940659
4	0.0699517	0.911517	0.334105	0.917772	0.951162	0.367323	0.948391	0.29041	0.963354	0.92576
5	0.056469	0.891865	0.245863	0.901738	0.941052	0.160725	0.938852	0.201544	0.887745	0.821787
6	0.0126812	0.692228	0.0603963	0.0351752	0.0103451	0.0391563	0.751331	0.0527141	0.082895	0.0138825
7	0.0142959	0.0168452	0.38337	0.0176683	0.00919985	0.042306	0.0103856	0.459672	0.00728159	0.0143944
8	0.0147186	0.112136	0.0576728	0.7164	0.0985134	0.039024	0.151263	0.0543594	0.283986	0.0168497
9	0.0151901	0.0179805	0.0606664	0.048694	0.813295	0.0390091	0.00935652	0.0449969	0.0222407	0.0148981
