clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	0.955506	1	1	1	0.955823	1	0.92003	1	1
1	0.212321	0.0207597	0.0219862	0.0445394	0.0223108	0.0352861	0.0412371	0.0697482	0.133582	0.0834672
2	0.109681	0.916797	0.865136	0.807654	0.815158	0.744728	0.855965	0.841678	0.412674	0.652338
3	0.103366	0.911612	0.925994	0.839758	0.843509	0.696786	0.726625	0.812924	0.431341	0.659239
4	0.0974446	0.839421	0.858918	0.793072	0.794555	0.691857	0.708092	0.701751	0.137865	0.629576
5	0.0208897	0.560407	0.0236626	0.00967117	0.0224523	0.038815	0.0264453	0.0193413	0.0131628	0.0126897
6	0.0517986	0.194437	0.148274	0.745685	0.208557	0.50656	0.645196	0.162786	0.0835376	0.079305
7	0.00832554	0.0250696	0.188927	0.007543	0.33631	0.0378635	0.0271983	0.44901	0.0124277	0.491205
8	0.00790397	0.0412413	0.0218359	0.725447	0.0193701	0.0946283	0.025875	0.0206932	0.0110384	0.0107636
9	0.0260981	0.0693818	0.0714355	0.0287558	0.0750296	0.387502	0.567856	0.0691563	0.0378275	0.0341817
10	0.0085623	0.021095	0.436919	0.0100671	0.147958	0.0452604	0.0236025	0.043634	0.0134471	0.0476522
11	0.00782302	0.0243108	0.0244788	0.00987287	0.0215301	0.218022	0.0886269	0.0206373	0.0122907	0.0112222
12	0.00803527	0.0244685	0.0194295	0.00897599	0.0247199	0.041861	0.153283	0.0197223	0.0142448	0.0130769
13	0.00796718	0.0463029	0.02407	0.00873294	0.0856736	0.0338761	0.040938	0.0537693	0.0118459	0.0204065
14	0.209134	0.0234461	0.0223497	0.0457171	0.0216416	0.0388734	0.0240488	0.0598456	0.157593	0.0882763
15	0.00745665	0.0266338	0.037533	0.0093343	0.0257668	0.0438053	0.0259304	0.0530351	0.142958	0.00985205
16	0.474846	0.0598242	0.0679282	0.0839608	0.101972	0.094112	0.0850268	0.0408543	0.274302	0.167602
17	0.237901	0.0440112	0.0402833	0.0402971	0.0764097	0.0609328	0.0635656	0.019711	0.142052	0.0951851
