clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	1
1	0.108274	0.0762824	0.764824	0.274203	0.03052
2	0.923961	0.818741	0.256177	0.762717	0.986912
3	0.740402	0.493636	0.173402	0.123005	0.975263
4	0.13503	0.375887	0.0620717	0.543704	0.0336143
5	0.609614	0.473505	0.137977	0.108709	0.962918
6	0.117506	0.344189	0.0398083	0.418494	0.0234293
7	0.291919	0.0235009	0.0494487	0.0194857	0.0282655
8	0.0452792	0.480434	0.0635425	0.0436444	0.921543
9	0.0277507	0.0464062	0.0419736	0.0324265	0.799578
10	0.0697213	0.271861	0.0187037	0.210408	0.0103811
11	0.0187288	0.038256	0.414494	0.0156468	0.0105194
12	0.0636416	0.0177468	0.248717	0.209147	0.00983861
13	0.0150731	0.0223774	0.020919	0.0156436	0.158513
