clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	0.923837
1	0.0360226	0.0743727	0.0571941	0.72206	0.448132
2	0.932095	0.874481	1	0.258093	0.522094
3	0.744428	0.782575	0.931031	0.190523	0.0651527
4	0.744047	0.718674	0.775661	0.164574	0.0513527
5	0.778332	0.669742	0.817146	0.151047	0.0498951
6	0.669743	0.512925	0.288187	0.0975105	0.0337895
7	0.217067	0.127492	0.101536	0.0822093	0.0240415
8	0.0644976	0.184019	0.496168	0.0156197	0.00560285
9	0.379678	0.234314	0.0852655	0.0147458	0.00626101
10	0.174902	0.107362	0.0893449	0.0582577	0.018155
11	0.0213601	0.0453213	0.0341519	0.514768	0.318038
12	0.151916	0.0680846	0.0355653	0.0555281	0.214962
13	0.083855	0.0414189	0.0157027	0.0340513	0.209079
14	0.0122053	0.0207888	0.0180386	0.29353	0.218785
15	0.17589	0.0886067	0.0659349	0.0415824	0.0109739
16	0.0503524	0.0438809	0.0154513	0.0189518	0.282113
17	0.121893	0.0450759	0.053993	0.026073	0.00551898
