clusterID	sample0	sample1	sample2	sample3	sample4
0	0.976362	1	0.908853	1	1
1	0.0771884	0.629569	0.0423159	0.0681599	0.0538064
2	0.827229	0.318409	0.887345	0.920024	0.867146
3	0.0592848	0.672669	0.0364813	0.0499719	0.046212
4	0.846199	0.290747	0.169081	0.913654	0.910306
5	0.605406	0.255614	0.0246284	0.0250693	0.756307
6	0.318483	0.234162	0.0108436	0.0136361	0.427335
7	0.0502959	0.0314352	0.770818	0.0829549	0.0141326
8	0.0496184	0.601129	0.0269506	0.0394339	0.0389478
9	0.0316929	0.617264	0.0184825	0.0270494	0.0243133
10	0.0156332	0.326157	0.0084307	0.0142764	0.00628337
11	0.0312145	0.0178194	0.665265	0.0573907	0.00829793
12	0.271399	0.0166875	0.140957	0.710856	0.0679735
