clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.964569	0.930958	1	0.97756	1	0.939715	1	0.982601	0.936055	1
1	0.997502	0.906046	0.869332	1	0.917621	1	0.898942	0.986669	0.970116	0.978308
2	0.807681	0.899806	0.193959	0.184666	0.116275	0.119242	0.787909	0.977229	0.446008	0.206401
3	0.830701	0.1779	0.107624	0.132216	0.0655534	0.0733474	0.762821	0.964639	0.139348	0.127393
4	0.431682	0.00946708	0.0324598	0.0294436	0.02216	0.0228199	0.0154714	0.453431	0.0440522	0.0420045
5	0.107869	0.0600205	0.699249	0.706087	0.814699	0.881366	0.119266	0.057281	0.46712	0.658337
6	0.0183396	0.710902	0.0350787	0.031735	0.0293233	0.0285365	0.1285	0.0105966	0.290791	0.0438592
7	0.0904739	0.045824	0.270028	0.641038	0.714181	0.71958	0.0833302	0.0482468	0.382042	0.51278
8	0.0121689	0.00655504	0.47109	0.0337709	0.0216319	0.0216201	0.0146564	0.00685115	0.045941	0.0981133
9	0.0850053	0.0403663	0.22704	0.582543	0.757159	0.753869	0.0804158	0.0408491	0.265226	0.519479
10	0.0537262	0.0266259	0.130658	0.529101	0.410635	0.774081	0.049458	0.0251188	0.167745	0.1593
11	0.0137701	0.0065482	0.0334903	0.391062	0.0424285	0.239384	0.0127249	0.005688	0.0434032	0.0450649
12	0.0268577	0.0110808	0.0739486	0.0602671	0.0583395	0.399492	0.0281314	0.0122885	0.086032	0.091847
13	0.0140193	0.00541389	0.0384828	0.0344402	0.0404792	0.0260782	0.0126223	0.00558102	0.0423751	0.226289
14	0.0147588	0.00573912	0.0432149	0.0307904	0.0239752	0.141687	0.0134083	0.00736098	0.0453598	0.0469574
15	0.216708	0.1025	0.0362082	0.0620596	0.0242916	0.0232077	0.57671	0.141311	0.0393934	0.0438504
