clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	0.982939	0.996135	1	0.962867	0.976661	0.969836	1	1	1
1	0.900724	0.914135	1	0.953377	0.896883	0.918401	1	1	1	1
2	1	0.885675	0.922467	0.999041	1	0.958508	0.908432	0.902933	0.884421	1
3	1	0.950934	0.669887	0.923684	0.935742	0.869348	0.924821	0.325851	0.964395	0.959636
4	0.870152	0.677461	0.0718664	0.252012	0.10035	0.778974	0.667674	0.13407	0.115069	0.0251923
5	0.790351	0.659763	0.0528031	0.243326	0.0709548	0.763369	0.710348	0.0993691	0.0848164	0.0220064
6	0.301406	0.0601816	0.0186582	0.0278448	0.0244528	0.314506	0.0333799	0.0327374	0.0282523	0.00727913
7	0.0647149	0.209122	0.589694	0.584743	0.863391	0.0954456	0.22949	0.163359	0.751963	0.913707
8	0.192783	0.5586	0.0144262	0.170024	0.0257771	0.417529	0.539358	0.0310452	0.0385586	0.00652748
9	0.03272	0.136918	0.0658685	0.548793	0.271566	0.0434677	0.161118	0.0688331	0.575607	0.0280654
10	0.0160523	0.0472099	0.120749	0.0497284	0.459975	0.02919	0.038807	0.0674442	0.157369	0.907544
11	0.00986975	0.0223853	0.2043	0.0203829	0.0226614	0.0166968	0.0195604	0.564671	0.0313342	0.00725792
12	0.0184485	0.081704	0.0183285	0.442795	0.210822	0.0319171	0.111268	0.03326	0.524591	0.0125175
13	0.00844215	0.0240109	0.0193653	0.029192	0.416231	0.0167713	0.0187904	0.0282992	0.109044	0.330924
