clusterID	sample0	sample1	sample2	sample3	sample4
0	0.964229	0.990774	0.957252	0.941889	1
1	0.876547	0.368557	0.965689	0.294942	0.963123
2	1	0.33776	0.957103	0.286984	0.873168
3	0.801627	0.0126637	0.0101122	0.0385928	0.0249054
4	0.179261	0.0467977	0.139838	0.115545	0.82037
5	0.00834818	0.500709	0.00889412	0.0352856	0.0239142
6	0.01729	0.269034	0.714863	0.0751846	0.0534627
7	0.0153528	0.060327	0.0176436	0.65168	0.0541027
8	0.0320718	0.025387	0.125842	0.0853293	0.813959
9	0.007356	0.0163929	0.662601	0.0432225	0.0234182
10	0.00941541	0.0412939	0.0102503	0.621474	0.0288891
11	0.00747393	0.0118152	0.0450023	0.0381528	0.392022
