clusterID	sample0	sample1	sample2	sample3	sample4
0	0.94105	1	0.92382	0.993843	1
1	0.799373	0.59296	0.458157	0.125199	0.402972
2	0.677903	0.489959	0.373113	0.0508976	0.27243
3	0.699027	0.499591	0.344027	0.0507966	0.220719
4	0.157718	0.025798	0.0212806	0.0297779	0.0384899
5	0.281481	0.349456	0.07038	0.0138348	0.106152
6	0.149644	0.403903	0.531296	0.859765	0.583843
7	0.185832	0.36825	0.0509308	0.00887341	0.0700097
8	0.191874	0.114748	0.0266557	0.00434326	0.0373009
9	0.137244	0.400042	0.478019	0.896446	0.547081
10	0.13299	0.336742	0.521314	0.92375	0.533565
11	0.00951074	0.136587	0.280214	0.200294	0.12218
12	0.0469472	0.0279696	0.0291734	0.147363	0.0469991
13	0.040365	0.0840286	0.138866	0.341656	0.233314
14	0.0125285	0.0216634	0.0265181	0.157416	0.146052
15	0.0215689	0.0376124	0.0897402	0.135251	0.0544071
16	0.0290116	0.102047	0.0234903	0.158645	0.0352536
17	0.00472335	0.109954	0.0544658	0.149486	0.0925392
18	0.145553	0.037629	0.078935	0.0735834	0.0763594
19	0.21247	0.0618927	0.214013	0.00457437	0.0362219
