clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	1
1	0.849385	0.0752736	0.122347	0.90456	0.109286
2	0.889978	0.0645153	0.0909031	0.172694	0.0973167
3	0.782061	0.0504533	0.0775013	0.155725	0.0838385
4	0.130414	0.0252994	0.0293558	0.0298422	0.0217758
5	0.0273934	0.767788	0.176693	0.0463504	0.0287295
6	0.00969553	0.425963	0.0145165	0.023141	0.00600182
7	0.00683509	0.291855	0.116752	0.0138864	0.0138779
8	0.0236615	0.0546742	0.676374	0.0402878	0.537368
9	0.00785276	0.0130984	0.0130722	0.671921	0.00677647
10	0.016914	0.0478593	0.353548	0.0237063	0.408019
11	0.0447012	0.00986957	0.0307376	0.013938	0.369148
12	0.0347543	0.0083609	0.0125493	0.0352627	0.0539906
13	0.0774656	0.00868761	0.0119103	0.0463427	0.00610647
14	0.00944916	0.0267405	0.0165278	0.0131832	0.162977
