clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	0.973154	0.960431	1
1	0.855579	0.453588	0.889232	0.97124	0.864564
2	0.142858	0.0317639	0.0350301	0.0110919	0.0347449
3	0.174834	0.520931	0.0168545	0.0104399	0.0786135
4	0.524064	0.0553484	0.0435143	0.78765	0.0171036
5	0.142201	0.357429	0.832913	0.167529	0.776266
6	0.0594006	0.0949927	0.796061	0.123898	0.718216
7	0.029751	0.0568723	0.711863	0.100669	0.0231543
8	0.0086114	0.0283885	0.17406	0.0111336	0.00905189
9	0.0795115	0.132711	0.0334531	0.0402709	0.12322
10	0.417828	0.0243367	0.0262134	0.698322	0.00780433
11	0.00847486	0.022947	0.0211742	0.0110758	0.722669
12	0.0688419	0.0250681	0.0188942	0.0321237	0.0969045
