clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	0.915323	1	1	1	1	1	1	1	0.908262	1	0.982223
1	0.0168794	0.013708	0.018282	0.0160426	0.0372482	0.0121196	0.0150079	0.0369039	0.158668	0.0213224	0.0147856	0.510772	0.0166025	0.0191841	0.0136831
2	1	0.911303	0.869059	0.988177	0.915771	0.908192	0.89636	0.973584	0.790999	0.955654	0.956167	0.472363	0.999714	0.90389	0.948311
3	0.430386	0.0264597	0.0338872	0.0336512	0.0162718	0.0251341	0.0291577	0.0362803	0.518276	0.711145	0.0238678	0.0231828	0.0343262	0.0448922	0.0275051
4	0.341644	0.330711	0.0688601	0.0775143	0.642857	0.0570185	0.0701849	0.0857709	0.0179875	0.072617	0.076226	0.04164	0.0630428	0.770845	0.0570784
5	0.131692	0.603114	0.807132	0.673087	0.262086	0.879092	0.85123	0.799313	0.0730191	0.105065	0.854199	0.347933	0.667009	0.150742	0.922671
6	0.105509	0.30843	0.0587693	0.0523575	0.635718	0.0523813	0.0525622	0.0658359	0.0136426	0.0450644	0.0565945	0.0366335	0.0522476	0.69416	0.045343
7	0.0710324	0.536488	0.69342	0.108187	0.271992	0.749858	0.0877365	0.731917	0.0187014	0.0556577	0.858073	0.315725	0.0656757	0.071871	0.446548
8	0.0140348	0.479491	0.153796	0.0157387	0.193715	0.165817	0.0151353	0.0371888	0.00492345	0.0129821	0.655112	0.0238189	0.0166012	0.0181114	0.017533
9	0.0188308	0.0160062	0.0185035	0.0157481	0.0170593	0.0101546	0.0185808	0.02009	0.00517525	0.0131079	0.0145531	0.0107461	0.0170066	0.327715	0.014493
10	0.0337948	0.028532	0.0507683	0.0374722	0.0278807	0.657572	0.0308275	0.626706	0.00956494	0.0246517	0.075579	0.0259641	0.035533	0.0349379	0.442859
11	0.0516695	0.048075	0.0482615	0.451706	0.0244229	0.0529106	0.142465	0.0786343	0.0500255	0.0441793	0.0411804	0.0319466	0.532121	0.0680845	0.329145
12	0.0174237	0.0153395	0.0158103	0.0474286	0.00730275	0.0130607	0.0156372	0.0191575	0.075587	0.0151369	0.0135331	0.010692	0.155519	0.0205378	0.0144322
13	0.0171561	0.26362	0.0198628	0.017127	0.519014	0.0252912	0.0151448	0.0221197	0.00512706	0.0144256	0.0326933	0.0105115	0.0190348	0.0628007	0.0163468
14	0.0158457	0.015147	0.0192786	0.0162971	0.0111457	0.354645	0.0151247	0.31056	0.0044369	0.0122502	0.0211353	0.012453	0.0166593	0.0180387	0.137816
15	0.0149985	0.0326432	0.0166236	0.0483201	0.0349248	0.0113754	0.0171958	0.0178111	0.160914	0.0528744	0.0129879	0.0347963	0.016868	0.0208781	0.0138786
16	0.0357613	0.0322497	0.0364155	0.0624287	0.0160663	0.0371543	0.0316409	0.0631925	0.0441803	0.0274522	0.0255233	0.0203003	0.0866185	0.041046	0.325075
17	0.0158964	0.0133329	0.01705	0.0377604	0.00763767	0.0193457	0.0186386	0.0360875	0.039016	0.0156102	0.0144974	0.0108534	0.0179426	0.0235637	0.0849775
18	0.117503	0.01351	0.016513	0.0183839	0.00810024	0.0135936	0.0144879	0.0190358	0.271017	0.0520845	0.0111276	0.0113366	0.0167573	0.0221541	0.0160866
