clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	1
1	1	0.925771	0.901563	1	0.964692
2	0.127444	0.00978888	0.0207369	0.0111414	0.23075
3	0.100445	0.657521	0.701568	0.741482	0.629783
4	0.0420433	0.268461	0.560932	0.642667	0.398168
5	0.0129802	0.0450221	0.538104	0.36549	0.0589896
6	0.00459102	0.311784	0.0169156	0.0117171	0.00581765
7	0.00460161	0.00909278	0.459828	0.0132553	0.00566367
8	0.00395363	0.0164602	0.0335951	0.285713	0.00642763
9	0.780864	0.280755	0.323112	0.218852	0.186625
10	0.00409568	0.149433	0.0171433	0.306927	0.0355233
11	0.539918	0.227669	0.181904	0.181166	0.0802704
12	0.408547	0.160166	0.16003	0.101978	0.0325754
13	0.132074	0.0568103	0.0167681	0.0683723	0.0440247
14	0.117838	0.0615186	0.0753668	0.043509	0.0990212
15	0.056014	0.0776699	0.0160327	0.0120591	0.188198
16	0.20993	0.0818681	0.119551	0.0249556	0.00981483
17	0.132713	0.0755274	0.0158603	0.0558058	0.0197771
18	0.131134	0.0692955	0.111064	0.0106782	0.00475581
