clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.920795	1	1	1
1	0.145317	0.870755	0.05557	0.970744	0.878666
2	0.804229	0.0926004	0.0134142	0.006746	0.0163705
3	0.0315743	0.0331752	0.201457	0.00825611	0.0165842
4	0.00579599	0.0276607	0.646129	0.00798132	0.0199318
5	0.0238121	0.123751	0.0414891	0.963339	0.595804
6	0.0160273	0.0870787	0.0359488	0.884998	0.696307
7	0.00519565	0.0288024	0.0245837	0.112894	0.0232791
8	0.104155	0.625951	0.0101607	0.0545749	0.273293
9	0.00495466	0.0314934	0.0050016	0.149668	0.424176
10	0.00849435	0.13565	0.00539799	0.045202	0.24919
