clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	0.97971	0.995351	0.931692	1	0.902934	1	1	1	1	0.93735	0.935622	0.908562	0.904332	1
1	0.0487735	0.0453749	0.0366626	0.0242266	0.110367	0.0305614	0.0193366	0.0340013	0.207059	0.780343	0.0608631	0.0442681	0.0291483	0.0432125	0.0986409
2	0.913737	0.87589	1	0.920575	0.800519	0.961694	0.887542	1	0.828277	0.195227	0.85783	0.959313	0.970515	0.864572	0.918355
3	0.964074	0.929288	0.833783	1	0.576473	0.948586	0.936914	0.174602	0.71525	0.137032	0.746546	0.790849	0.907912	0.869264	0.674397
4	0.848059	0.811017	0.79139	0.827793	0.517423	0.884728	0.88006	0.146418	0.699185	0.127087	0.830965	0.831259	0.802342	0.752287	0.596513
5	0.940413	0.777581	0.130298	0.0977676	0.46091	0.946437	0.845939	0.100784	0.0309188	0.0978746	0.691023	0.722638	0.0821546	0.139304	0.274947
6	0.76158	0.853035	0.105422	0.0601961	0.267435	0.754326	0.87679	0.0823973	0.0225501	0.0771732	0.710054	0.798468	0.065644	0.0937863	0.189907
7	0.0615581	0.0208309	0.0191621	0.0112997	0.060651	0.279028	0.0297261	0.0190963	0.0038479	0.0137805	0.2478	0.169445	0.0134055	0.0204952	0.039464
8	0.141755	0.777478	0.0621261	0.0348235	0.141458	0.0406205	0.858298	0.0543741	0.0126828	0.0398012	0.429919	0.403415	0.040116	0.0574781	0.111423
9	0.0172109	0.270854	0.0386156	0.0202423	0.0966844	0.0258387	0.669675	0.0329558	0.00750799	0.027158	0.318104	0.0870836	0.0267099	0.0385979	0.0727361
10	0.0212525	0.0543935	0.06599	0.0326448	0.168771	0.0420031	0.0304736	0.720071	0.115561	0.0389485	0.0831054	0.0645596	0.0433762	0.0814597	0.115678
11	0.00593961	0.0223603	0.0205626	0.00993171	0.0455165	0.0137507	0.166577	0.0212222	0.00430622	0.0134782	0.0412375	0.0248698	0.0137302	0.0179123	0.0397756
12	0.0134596	0.0383185	0.0411301	0.0232809	0.117038	0.0283017	0.0198844	0.601363	0.101242	0.0285053	0.062144	0.0488001	0.0251776	0.0604398	0.0783727
13	0.00742954	0.0187844	0.0189455	0.0110389	0.057938	0.0122527	0.010661	0.319945	0.0821143	0.0146346	0.0309149	0.0256942	0.0123584	0.0429565	0.0497741
14	0.0365199	0.0203961	0.076504	0.0151795	0.0550952	0.0159578	0.0108577	0.0243835	0.538691	0.0129586	0.0284451	0.0275484	0.0194534	0.613501	0.0444724
15	0.0403853	0.0221605	0.018501	0.011441	0.0667118	0.0135348	0.0102986	0.015413	0.11492	0.453201	0.0256648	0.0226469	0.0144867	0.0212878	0.0602239
