clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	0.94944	1	1
1	0.853802	0.919277	0.221517	0.833785	0.866581
2	0.195247	0.0709731	0.0418158	0.0219149	0.0719027
3	0.484835	0.477515	0.0151738	0.0110397	0.0116887
4	0.13102	0.0433818	0.0254945	0.0107179	0.0569579
5	0.122427	0.161784	0.175029	0.902798	0.77845
6	0.0213767	0.091203	0.0493569	0.830291	0.518669
7	0.0149873	0.0253423	0.032764	0.767446	0.295555
8	0.00603468	0.0143032	0.283756	0.0115941	0.0381048
9	0.0062059	0.011625	0.015721	0.2854	0.0209819
10	0.0912687	0.0258417	0.032866	0.0556137	0.235927
11	0.0572188	0.0126686	0.0162072	0.0425239	0.139621
12	0.164575	0.123892	0.466552	0.0900508	0.0194955
13	0.100775	0.090628	0.225083	0.0598222	0.00980306
