clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	0.917518
1	0.616893	0.00840662	0.00557042	0.0075661	0.0160578
2	0.400254	0.838182	0.84142	0.0994742	0.114349
3	0.309136	0.0407206	0.012001	0.0150052	0.0267359
4	0.0254997	0.904675	0.752315	0.0718726	0.0674159
5	0.00902172	0.190942	0.024937	0.00770325	0.0369849
6	0.0095297	0.275984	0.640323	0.0582784	0.0131678
7	0.0391163	0.0897876	0.19459	0.928815	0.921791
8	0.0201751	0.0616153	0.172592	0.897484	0.37831
9	0.00913142	0.0446184	0.14099	0.789767	0.0817109
10	0.00852031	0.00885513	0.00591033	0.00887944	0.484758
11	0.0982287	0.0289035	0.00601234	0.00775323	0.0155284
