clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.436257	0.00817388	0.00740699	0.00634797	0.00519658	0.00987395	0.805894	0.0109155	0.00397476	0.0140438	0.0127699	0.00569603	0.571277	0.0130051	0.026528
2	0.496789	0.883076	0.0143474	0.0291782	0.070106	0.0212652	0.161281	0.789379	0.00899034	0.345036	0.418022	0.0120659	0.376105	0.44665	0.0465155
3	0.0893474	0.87153	0.00719676	0.0182469	0.0613793	0.0100778	0.0278132	0.776574	0.00438763	0.145738	0.387202	0.00627977	0.0780663	0.425239	0.0239972
4	0.0428526	0.0817599	0.1059	0.938082	0.907824	0.142789	0.0190596	0.165348	0.099047	0.596271	0.533759	0.0278914	0.0328639	0.502836	0.785159
5	0.00712257	0.00874763	0.834436	0.00891239	0.00582187	0.573091	0.00444072	0.0118663	0.824955	0.00761875	0.0115556	0.255026	0.00699998	0.0123011	0.0901068
6	0.023928	0.0649248	0.0139876	0.227214	0.86671	0.0225929	0.0101765	0.142112	0.0103014	0.213649	0.506115	0.0121172	0.0177375	0.475639	0.0541532
7	0.00743018	0.00816817	0.0557546	0.448757	0.0232938	0.0968021	0.0041558	0.0116716	0.0517288	0.0501926	0.0124495	0.00860386	0.00619217	0.0145043	0.673763
8	0.00666176	0.0224912	0.00702398	0.0341739	0.458081	0.0106346	0.00460471	0.0309138	0.00445884	0.0144743	0.0922594	0.00552091	0.00594358	0.0195213	0.0236553
9	0.00754317	0.00872657	0.0235888	0.00633756	0.00560259	0.24042	0.00421298	0.0113247	0.0418779	0.00673789	0.010814	0.693523	0.0056479	0.0126783	0.0253977
