clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	0.957061	1
1	0.12703	0.00673407	0.112074	0.170536	0.0351482
2	0.658694	0.0562594	0.0252377	0.720523	0.0584597
3	0.390165	0.0504161	0.0213117	0.741117	0.0530007
4	0.230539	0.942125	0.934626	0.127513	0.93319
5	0.106178	0.805454	0.74389	0.0266372	0.516678
6	0.0254242	0.577046	0.145363	0.0140021	0.0140189
7	0.0806745	0.0389395	0.0159836	0.675378	0.0409784
8	0.0269235	0.241292	0.476803	0.00487954	0.0150667
9	0.104159	0.0402467	0.11666	0.107551	0.404498
10	0.0266522	0.00833655	0.00526411	0.247964	0.0118582
11	0.0243872	0.0132341	0.0107083	0.00482639	0.48982
12	0.0436788	0.00670138	0.00490489	0.03915	0.337647
13	0.0393409	0.0270026	0.108679	0.0426774	0.0250916
14	0.0277955	0.0291845	0.00545094	0.152746	0.0120892
