clusterID	sample0	sample1	sample2	sample3	sample4
0	0.983058	1	1	0.950028	1
1	0.96957	0.963367	1	0.948688	1
2	0.967	0.982028	0.962978	0.96429	0.897873
3	0.638226	0.0780172	0.0100096	0.0297237	0.254028
4	0.159756	0.790861	0.0276616	0.0642233	0.499006
5	0.0456086	0.506115	0.0129423	0.0327882	0.316412
6	0.0858717	0.0762879	0.978396	0.812656	0.178978
7	0.0626644	0.0783991	0.899844	0.840965	0.16597
8	0.0219631	0.0139488	0.920118	0.229363	0.0514777
9	0.0358709	0.0496144	0.0472504	0.485877	0.0928302
10	0.0211813	0.0429248	0.0253908	0.445112	0.0657724
11	0.0100606	0.00713887	0.218536	0.201189	0.0222824
12	0.0116611	0.0368566	0.0111516	0.130252	0.0426087
