clusterID	sample0	sample1	sample2	sample3	sample4
0	0.998734	1	0.966821	0.93306	0.977371
1	0.963891	0.97595	1	1	0.913869
2	0.603011	0.0808562	0.0106324	0.0341307	0.791414
3	0.568681	0.0419277	0.00559527	0.0193679	0.807488
4	0.336004	0.854324	1	0.865504	0.203884
5	0.234298	0.477343	1	0.912317	0.0615273
6	0.0284939	0.268433	0.0060883	0.0166494	0.122531
7	0.192368	0.484396	1	0.795719	0.0441924
8	0.103186	0.125324	0.93745	0.700785	0.0228258
9	0.0295658	0.0340856	0.222444	0.0309199	0.00809511
10	0.0278522	0.0395098	0.0839014	0.245988	0.00696586
