clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	0.943522	0.977682	1	1	1	1	1	1	0.936369
1	0.0602977	0.00826146	0.0134804	0.00875779	0.0408777	0.0251748	0.0224328	0.0157466	0.0347929	0.482575
2	0.771784	0.441296	1	0.894146	0.928771	0.960549	0.949145	0.961747	0.957025	0.473496
3	0.0521669	0.528469	0.0146904	0.00745742	0.0448331	0.029829	0.0285476	0.017767	0.0349902	0.0250219
4	0.702379	0.379719	1	1	0.914177	0.930439	0.864833	0.848785	0.877353	0.406264
5	0.562617	0.183398	0.333939	0.867276	0.748186	0.760592	0.735704	0.829277	0.67959	0.31982
6	0.299283	0.125349	0.168797	0.0618828	0.225127	0.155394	0.184601	0.0899061	0.544157	0.159752
7	0.0542365	0.00748761	0.385963	0.0088333	0.0417962	0.0277402	0.0262901	0.0194238	0.0381343	0.0304451
8	0.247211	0.0452599	0.170028	0.80496	0.463482	0.634764	0.572636	0.719296	0.171862	0.146281
9	0.239003	0.114797	0.145296	0.0567098	0.159946	0.118066	0.150404	0.0617204	0.51268	0.11712
10	0.0583803	0.00752091	0.0140278	0.0524839	0.269918	0.0241723	0.0263594	0.138473	0.0371694	0.0295033
11	0.121309	0.055655	0.0751641	0.0182522	0.0876169	0.0544482	0.0906014	0.0299196	0.29379	0.0609759
12	0.110601	0.0153165	0.0302173	0.0783071	0.0948331	0.508204	0.119616	0.412967	0.0633601	0.0631173
13	0.0612819	0.0480977	0.051013	0.0319633	0.0504182	0.0477302	0.0278374	0.0174655	0.0384329	0.0287469
14	0.0475542	0.0087256	0.0148005	0.00874454	0.04871	0.278008	0.0269771	0.196564	0.0325654	0.0338254
15	0.0437761	0.17227	0.110956	0.132426	0.0433796	0.0239638	0.0292723	0.0177945	0.0482674	0.031022
16	0.051512	0.00982926	0.0332849	0.0154227	0.0494985	0.109844	0.264258	0.128307	0.0290687	0.0355049
17	0.0869171	0.0451264	0.0614845	0.00754207	0.0420116	0.0249415	0.0676512	0.0156089	0.0359549	0.0285859
