clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.937787	0.961249	1	0.904438	0.997294	0.957384	1	0.995608	0.91063	1
1	0.214812	0.0632999	0.0370932	0.00820882	0.0140832	0.0143505	0.0393037	0.0545814	0.0123361	0.0276542
2	0.522075	0.0845416	0.0354079	0.0106063	0.0137603	0.0170941	0.500937	0.231528	0.0133247	0.00581503
3	0.196846	0.785971	0.849223	0.928424	0.921549	0.860673	0.42034	0.594766	0.979817	0.942955
4	0.14539	0.535775	0.824999	0.92977	0.478691	0.887475	0.250718	0.523761	0.940415	0.870861
5	0.0639065	0.400634	0.609842	0.287468	0.0417913	0.716267	0.148235	0.370077	0.904283	0.16725
6	0.0389348	0.127645	0.076626	0.572659	0.382272	0.197437	0.0858112	0.0979434	0.0741179	0.720336
7	0.023689	0.0707324	0.248225	0.0198322	0.0124213	0.015448	0.0453398	0.0688738	0.0874786	0.0116257
8	0.0375683	0.120195	0.0672743	0.0219926	0.519803	0.0302179	0.0846131	0.0997294	0.0259461	0.0168929
9	0.0189069	0.0594829	0.034975	0.183473	0.0930583	0.161835	0.0368876	0.0554775	0.0399885	0.549056
10	0.0182653	0.0625092	0.0338934	0.0133949	0.434589	0.0161486	0.0464351	0.0463864	0.0154763	0.0109749
11	0.0188301	0.0678739	0.0367178	0.117765	0.0153337	0.637205	0.0400593	0.0512748	0.459752	0.137375
