clusterID	sample0	sample1	sample2	sample3	sample4
0	0.95348	1	1	1	0.932054
1	0.224378	0.117692	0.0506262	0.18771	0.539047
2	0.168564	0.0703608	0.0325575	0.0801609	0.256688
3	0.103146	0.0379405	0.0255824	0.0644229	0.135895
4	0.746959	0.402595	0.656909	0.606178	0.139498
5	0.606791	0.00945065	0.0597474	0.613723	0.0141259
6	0.0409445	0.382662	0.249945	0.0289529	0.200552
7	0.0589498	0.378885	0.590952	0.0619241	0.106338
8	0.0253363	0.316783	0.218976	0.0172599	0.190512
9	0.048681	0.0909445	0.112333	0.0464269	0.0785127
10	0.510461	0.0047774	0.0182651	0.178456	0.00929193
11	0.0645162	0.0422786	0.00791839	0.110868	0.134113
12	0.0123974	0.0870358	0.0772723	0.00812953	0.130283
13	0.0307191	0.125095	0.00728313	0.129497	0.13427
