clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.913264	0.980629	1	1
1	0.0667421	0.0616138	0.219779	0.0102485	0.532963
2	0.921826	0.885626	0.759963	1	0.516337
3	0.816695	0.899403	0.199346	0.863213	0.154402
4	0.0928995	0.0215123	0.560967	0.0630744	0.337557
5	0.0552736	0.747088	0.0211088	0.136433	0.0311039
6	0.0229871	0.506655	0.0100209	0.119792	0.0169225
7	0.0476827	0.144322	0.151284	0.800433	0.110126
8	0.0211381	0.0055203	0.405744	0.00983806	0.0825439
9	0.0515048	0.0108091	0.0474788	0.0379075	0.195773
10	0.0226879	0.090384	0.0435085	0.778623	0.0694644
11	0.0248374	0.00538466	0.0145479	0.0267612	0.165969
