clusterID	sample0	sample1	sample2	sample3	sample4
0	0.990858	0.971083	1	0.928397	0.900402
1	0.926172	0.448214	0.825258	0.910273	0.720086
2	0.251479	0.138956	0.852276	0.136289	0.175407
3	0.727306	0.366774	0.0740448	0.702215	0.664011
4	0.61963	0.349653	0.0439576	0.0767057	0.0292155
5	0.233163	0.118833	0.725479	0.135692	0.166116
6	0.045065	0.0356966	0.500808	0.0352952	0.0143999
7	0.0530081	0.031557	0.16783	0.0221425	0.0646136
8	0.184392	0.290316	0.0366781	0.0345848	0.0156007
9	0.0305331	0.0229222	0.439382	0.0226445	0.00890344
10	0.0159024	0.0201104	0.138802	0.00913634	0.0437069
11	0.0528489	0.275252	0.0216993	0.0197223	0.00954804
12	0.035925	0.152422	0.0122406	0.0102376	0.00524286
13	0.0146801	0.0101508	0.355992	0.0114159	0.00542333
14	0.0146934	0.503105	0.100486	0.0984741	0.190313
15	0.0297418	0.0109878	0.010854	0.143741	0.423625
16	0.121676	0.0534487	0.133309	0.0696313	0.0935168
17	0.0527017	0.0377408	0.119821	0.0594147	0.0792133
18	0.0316583	0.0105727	0.0867658	0.0429868	0.0639883
