clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	0.935261	0.923785	1	1	1	0.916329	0.960268	0.984833	1	1	1	0.942671	1	1
1	0.888573	1	1	0.939534	0.98967	1	1	1	0.972942	0.949247	1	0.985858	0.941779	0.98873	0.914668
2	1	0.891642	1	0.95805	0.892087	0.889996	0.897534	0.912266	0.923764	0.87198	0.992279	1	0.912165	0.991778	1
3	0.852687	0.879436	1	0.869333	0.835905	0.874577	0.965285	0.929442	0.94885	0.86047	1	0.889309	0.889171	0.913876	0.87222
4	0.894981	0.848321	0.94593	0.824097	0.886743	1	0.924531	0.937541	0.888749	0.858233	1	0.870276	0.762974	0.824684	0.907865
5	0.825716	0.793877	0.970176	0.830408	0.723076	0.895936	1	0.955352	0.892247	0.806482	1	0.804613	0.785111	0.824363	0.831333
6	0.608371	0.152488	0.01695	0.368396	0.0541399	0.0144879	0.488541	0.109139	0.0331825	0.522679	0.143111	0.0279177	0.294237	0.0387744	0.0259412
7	0.137183	0.530949	0.0158968	0.192365	0.36117	0.031877	0.258786	0.57729	0.0287149	0.15188	0.614265	0.0911556	0.191005	0.446821	0.0451064
8	0.0695575	0.0913721	0.793908	0.135446	0.310625	0.881655	0.113025	0.0592369	0.685168	0.133913	0.0396864	0.697575	0.186092	0.227065	0.752672
9	0.0402745	0.0632319	0.891939	0.0945902	0.182151	0.804259	0.0733873	0.0294505	0.747451	0.0761054	0.0161406	0.726716	0.118611	0.143596	0.665543
10	0.0213635	0.0287781	0.173962	0.0435479	0.0556982	0.168356	0.0215549	0.0127154	0.521886	0.0405462	0.00711412	0.134843	0.0588837	0.0384056	0.0978716
