mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	0
mut5	0.967771	0.989035	0.989576	0.981521	0.96717	0.979964	0.986968	0.980972	0.988001	0.987321	1
mut6	0.967771	0.989035	0.989576	0.981521	0.96717	0.979964	0.986968	0.980972	0.988001	0.987321	1
mut7	0.967771	0.989035	0.989576	0.981521	0.96717	0.979964	0.986968	0.980972	0.988001	0.987321	1
mut8	0.967771	0.989035	0.989576	0.981521	0.96717	0.979964	0.986968	0.980972	0.988001	0.987321	1
mut9	0.967771	0.989035	0.989576	0.981521	0.96717	0.979964	0.986968	0.980972	0.988001	0.987321	1
mut10	0.937286	0.976107	0.978602	0.965471	0.935876	0.959352	0.972486	0.962049	0.976147	0.97583	2
mut11	0.937286	0.976107	0.978602	0.965471	0.935876	0.959352	0.972486	0.962049	0.976147	0.97583	2
mut12	0.937286	0.976107	0.978602	0.965471	0.935876	0.959352	0.972486	0.962049	0.976147	0.97583	2
mut13	0.937286	0.976107	0.978602	0.965471	0.935876	0.959352	0.972486	0.962049	0.976147	0.97583	2
mut14	0.937286	0.976107	0.978602	0.965471	0.935876	0.959352	0.972486	0.962049	0.976147	0.97583	2
mut15	0.902143	0.962794	0.968043	0.94967	0.90823	0.941901	0.958765	0.940717	0.964198	0.964284	3
mut16	0.902143	0.962794	0.968043	0.94967	0.90823	0.941901	0.958765	0.940717	0.964198	0.964284	3
mut17	0.902143	0.962794	0.968043	0.94967	0.90823	0.941901	0.958765	0.940717	0.964198	0.964284	3
mut18	0.902143	0.962794	0.968043	0.94967	0.90823	0.941901	0.958765	0.940717	0.964198	0.964284	3
mut19	0.902143	0.962794	0.968043	0.94967	0.90823	0.941901	0.958765	0.940717	0.964198	0.964284	3
mut20	0.66968	0.764005	0.0970889	0.0466942	0.591329	0.855428	0.109456	0.0609689	0.914175	0.889315	4
mut21	0.66968	0.764005	0.0970889	0.0466942	0.591329	0.855428	0.109456	0.0609689	0.914175	0.889315	4
mut22	0.66968	0.764005	0.0970889	0.0466942	0.591329	0.855428	0.109456	0.0609689	0.914175	0.889315	4
mut23	0.66968	0.764005	0.0970889	0.0466942	0.591329	0.855428	0.109456	0.0609689	0.914175	0.889315	4
mut24	0.66968	0.764005	0.0970889	0.0466942	0.591329	0.855428	0.109456	0.0609689	0.914175	0.889315	4
mut25	0.137331	0.0160699	0.01025	0.015684	0.0608191	0.124757	0.0150205	0.0203371	0.46382	0.125731	5
mut26	0.137331	0.0160699	0.01025	0.015684	0.0608191	0.124757	0.0150205	0.0203371	0.46382	0.125731	5
mut27	0.137331	0.0160699	0.01025	0.015684	0.0608191	0.124757	0.0150205	0.0203371	0.46382	0.125731	5
mut28	0.137331	0.0160699	0.01025	0.015684	0.0608191	0.124757	0.0150205	0.0203371	0.46382	0.125731	5
mut29	0.137331	0.0160699	0.01025	0.015684	0.0608191	0.124757	0.0150205	0.0203371	0.46382	0.125731	5
mut30	0.403003	0.729444	0.0757461	0.016105	0.468393	0.550396	0.0724395	0.0211192	0.279559	0.562837	6
mut31	0.403003	0.729444	0.0757461	0.016105	0.468393	0.550396	0.0724395	0.0211192	0.279559	0.562837	6
mut32	0.403003	0.729444	0.0757461	0.016105	0.468393	0.550396	0.0724395	0.0211192	0.279559	0.562837	6
mut33	0.403003	0.729444	0.0757461	0.016105	0.468393	0.550396	0.0724395	0.0211192	0.279559	0.562837	6
mut34	0.403003	0.729444	0.0757461	0.016105	0.468393	0.550396	0.0724395	0.0211192	0.279559	0.562837	6
mut35	0.20072	0.187561	0.859046	0.887121	0.287634	0.0675196	0.825789	0.859211	0.0388967	0.061883	7
mut36	0.20072	0.187561	0.859046	0.887121	0.287634	0.0675196	0.825789	0.859211	0.0388967	0.061883	7
mut37	0.20072	0.187561	0.859046	0.887121	0.287634	0.0675196	0.825789	0.859211	0.0388967	0.061883	7
mut38	0.20072	0.187561	0.859046	0.887121	0.287634	0.0675196	0.825789	0.859211	0.0388967	0.061883	7
mut39	0.20072	0.187561	0.859046	0.887121	0.287634	0.0675196	0.825789	0.859211	0.0388967	0.061883	7
mut40	0.129828	0.162191	0.819026	0.437532	0.226115	0.0264142	0.532854	0.163498	0.0156671	0.0380502	8
