clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	0.999222	1	1	1	0.90315	0.903777	1	0.923181	1
1	0.961546	0.542177	0.911011	0.854779	0.852578	0.835344	0.908496	0.942204	0.812922	0.166428
2	0.0253332	0.0411135	0.0275979	0.014941	0.0358281	0.0185913	0.00962819	0.00915935	0.0277783	0.268476
3	0.0417433	0.260501	0.0434486	0.0346539	0.0153122	0.0304491	0.0201608	0.0168928	0.0590814	0.353455
4	0.0221423	0.122423	0.020269	0.0143764	0.0737761	0.0378786	0.0116586	0.0763631	0.027449	0.187285
5	0.212214	0.393428	0.730419	0.920208	0.879366	0.119577	0.202839	0.113275	0.324272	0.0685398
6	0.0418348	0.0449661	0.0234598	0.0778344	0.0372593	0.0143456	0.0098732	0.0511466	0.0271169	0.029106
7	0.0221056	0.0491364	0.0266622	0.705646	0.00596634	0.0161539	0.00968358	0.00731009	0.0280434	0.00495281
8	0.141008	0.240086	0.617936	0.0825842	0.79688	0.0865558	0.175928	0.03848	0.218001	0.0260594
9	0.0880671	0.165127	0.126475	0.0644486	0.755729	0.0596725	0.138743	0.0357877	0.221328	0.0216139
10	0.0214754	0.0455687	0.0451045	0.0144124	0.0216297	0.0162307	0.0113305	0.00775323	0.0232767	0.00499255
11	0.159029	0.15395	0.0806024	0.0457787	0.0174628	0.774485	0.738531	0.817435	0.573218	0.0856062
12	0.0211117	0.19631	0.0230979	0.0152382	0.00686796	0.0146387	0.0114904	0.00996308	0.0271323	0.19636
13	0.023819	0.0470268	0.0234451	0.0157401	0.0707596	0.015727	0.0162588	0.00851057	0.0242955	0.00510094
14	0.0514001	0.103594	0.0482963	0.0289309	0.0135417	0.65949	0.668981	0.43865	0.507642	0.0115078
15	0.0222345	0.047901	0.0237634	0.0129985	0.0064372	0.178226	0.4647	0.00963045	0.506923	0.00484708
16	0.025176	0.04776	0.0248829	0.0142423	0.0641539	0.0178962	0.0517561	0.00842621	0.138604	0.00503785
