clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	1	0.965499	1	1	0.988166	1	1	0.934686	1
1	0.0642289	0.0178977	0.0333079	0.710666	0.0405769	0.0499675	0.0600236	0.0561957	0.0621984	0.0408092
2	0.706767	0.0396913	0.0630046	0.266779	0.818501	0.224892	0.142383	0.738938	0.114397	0.0835443
3	0.0454575	0.0121785	0.0234667	0.602812	0.0299543	0.0389099	0.0443471	0.0359468	0.0398731	0.0290518
4	0.183865	0.854508	0.80962	0.0792614	0.129675	0.663243	0.804786	0.139736	0.86971	0.944053
5	0.150258	0.362705	0.900686	0.0614237	0.0957555	0.687969	0.800608	0.118914	0.120712	0.912182
6	0.126135	0.163101	0.899355	0.0528845	0.0799666	0.390024	0.753366	0.0884968	0.116221	0.74965
7	0.0437938	0.0124401	0.244885	0.0182454	0.032014	0.0445596	0.603071	0.0349436	0.0426025	0.581059
8	0.0676475	0.0205987	0.034358	0.204517	0.746187	0.0559657	0.0691742	0.160511	0.0601718	0.0445258
9	0.0239559	0.00672222	0.0118383	0.179154	0.310773	0.0188375	0.0252119	0.0179571	0.0185098	0.0122179
10	0.0245965	0.39237	0.0114599	0.010505	0.0147555	0.0169661	0.0212559	0.0173135	0.618007	0.0164558
11	0.0229593	0.00638415	0.0184844	0.00897108	0.013227	0.0196382	0.312801	0.0172331	0.0204136	0.54582
12	0.0446282	0.0479519	0.33299	0.0189724	0.0336461	0.0343642	0.044514	0.0356596	0.0476127	0.191908
13	0.0226386	0.00659283	0.0124581	0.583431	0.0139299	0.0218652	0.021215	0.0195137	0.0183796	0.0138667
14	0.021081	0.00641131	0.0105327	0.0100957	0.48655	0.0217086	0.0214112	0.101165	0.0197895	0.0142955
15	0.653048	0.0144441	0.0206518	0.0215947	0.0310574	0.15423	0.049413	0.569113	0.0366576	0.0249487
16	0.459818	0.00715276	0.0106891	0.0106265	0.0144197	0.0740465	0.0249749	0.391197	0.0181456	0.0125267
17	0.0240922	0.0344477	0.0408807	0.0115504	0.0154738	0.0164587	0.0235514	0.0170683	0.0200479	0.146595
