mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	0
mut5	0.881955	0.712747	0.973007	0.932991	0.934766	0.98038	0.961739	0.0542955	0.987873	0.976369	1
mut6	0.881955	0.712747	0.973007	0.932991	0.934766	0.98038	0.961739	0.0542955	0.987873	0.976369	1
mut7	0.881955	0.712747	0.973007	0.932991	0.934766	0.98038	0.961739	0.0542955	0.987873	0.976369	1
mut8	0.881955	0.712747	0.973007	0.932991	0.934766	0.98038	0.961739	0.0542955	0.987873	0.976369	1
mut9	0.881955	0.712747	0.973007	0.932991	0.934766	0.98038	0.961739	0.0542955	0.987873	0.976369	1
mut10	0.761467	0.0727429	0.946225	0.0442968	0.0942564	0.958201	0.507367	0.0187474	0.976507	0.399517	2
mut11	0.761467	0.0727429	0.946225	0.0442968	0.0942564	0.958201	0.507367	0.0187474	0.976507	0.399517	2
mut12	0.761467	0.0727429	0.946225	0.0442968	0.0942564	0.958201	0.507367	0.0187474	0.976507	0.399517	2
mut13	0.761467	0.0727429	0.946225	0.0442968	0.0942564	0.958201	0.507367	0.0187474	0.976507	0.399517	2
mut14	0.761467	0.0727429	0.946225	0.0442968	0.0942564	0.958201	0.507367	0.0187474	0.976507	0.399517	2
mut15	0.0704223	0.608554	0.012293	0.764858	0.818586	0.011961	0.433176	0.0208998	0.00541506	0.553826	3
mut16	0.0704223	0.608554	0.012293	0.764858	0.818586	0.011961	0.433176	0.0208998	0.00541506	0.553826	3
mut17	0.0704223	0.608554	0.012293	0.764858	0.818586	0.011961	0.433176	0.0208998	0.00541506	0.553826	3
mut18	0.0704223	0.608554	0.012293	0.764858	0.818586	0.011961	0.433176	0.0208998	0.00541506	0.553826	3
mut19	0.0704223	0.608554	0.012293	0.764858	0.818586	0.011961	0.433176	0.0208998	0.00541506	0.553826	3
mut20	0.695688	0.0454245	0.931689	0.0196587	0.0603038	0.936323	0.425523	0.0141619	0.970713	0.291129	4
mut21	0.695688	0.0454245	0.931689	0.0196587	0.0603038	0.936323	0.425523	0.0141619	0.970713	0.291129	4
mut22	0.695688	0.0454245	0.931689	0.0196587	0.0603038	0.936323	0.425523	0.0141619	0.970713	0.291129	4
mut23	0.695688	0.0454245	0.931689	0.0196587	0.0603038	0.936323	0.425523	0.0141619	0.970713	0.291129	4
mut24	0.695688	0.0454245	0.931689	0.0196587	0.0603038	0.936323	0.425523	0.0141619	0.970713	0.291129	4
mut25	0.153896	0.0286272	0.871924	0.0123953	0.036682	0.627356	0.0571335	0.00941579	0.851135	0.0505053	5
mut26	0.153896	0.0286272	0.871924	0.0123953	0.036682	0.627356	0.0571335	0.00941579	0.851135	0.0505053	5
mut27	0.153896	0.0286272	0.871924	0.0123953	0.036682	0.627356	0.0571335	0.00941579	0.851135	0.0505053	5
mut28	0.153896	0.0286272	0.871924	0.0123953	0.036682	0.627356	0.0571335	0.00941579	0.851135	0.0505053	5
mut29	0.153896	0.0286272	0.871924	0.0123953	0.036682	0.627356	0.0571335	0.00941579	0.851135	0.0505053	5
mut30	0.0614145	0.273662	0.0138925	0.0559907	0.0468768	0.00969692	0.0200869	0.885469	0.00569001	0.011649	6
mut31	0.0614145	0.273662	0.0138925	0.0559907	0.0468768	0.00969692	0.0200869	0.885469	0.00569001	0.011649	6
mut32	0.0614145	0.273662	0.0138925	0.0559907	0.0468768	0.00969692	0.0200869	0.885469	0.00569001	0.011649	6
mut33	0.0614145	0.273662	0.0138925	0.0559907	0.0468768	0.00969692	0.0200869	0.885469	0.00569001	0.011649	6
mut34	0.0614145	0.273662	0.0138925	0.0559907	0.0468768	0.00969692	0.0200869	0.885469	0.00569001	0.011649	6
mut35	0.0553431	0.0138183	0.0556261	0.00607573	0.0181488	0.0770519	0.018692	0.00476492	0.115103	0.0108979	7
mut36	0.0553431	0.0138183	0.0556261	0.00607573	0.0181488	0.0770519	0.018692	0.00476492	0.115103	0.0108979	7
mut37	0.0553431	0.0138183	0.0556261	0.00607573	0.0181488	0.0770519	0.018692	0.00476492	0.115103	0.0108979	7
mut38	0.0553431	0.0138183	0.0556261	0.00607573	0.0181488	0.0770519	0.018692	0.00476492	0.115103	0.0108979	7
mut39	0.0553431	0.0138183	0.0556261	0.00607573	0.0181488	0.0770519	0.018692	0.00476492	0.115103	0.0108979	7
