clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.993308	1	1	1
1	0.980945	0.917272	1	1	1
2	0.96913	0.885509	1	1	0.95241
3	0.98532	0.925811	0.914889	0.999161	0.885288
4	0.888127	0.871579	0.92373	1	0.918616
5	0.745911	0.136975	0.192468	0.116032	0.0843849
6	0.18533	0.0810658	0.141834	0.0804143	0.0610554
7	0.530293	0.0290614	0.0239577	0.0166948	0.00983958
8	0.0717976	0.302476	0.0489621	0.0306747	0.150484
9	0.04133	0.29685	0.128213	0.125227	0.685708
10	0.0605042	0.239253	0.0292157	0.0183001	0.132473
11	0.0419519	0.0860308	0.453205	0.44107	0.0195044
12	0.0182455	0.0503795	0.458305	0.146735	0.0102596
13	0.147831	0.054516	0.10263	0.0773701	0.0467618
14	0.0195005	0.0294394	0.0285059	0.206309	0.0407122
15	0.0189277	0.194687	0.09319	0.0515604	0.516968
16	0.102563	0.0244468	0.0697928	0.0575661	0.0386157
