mutID	sample0	sample1	sample2	sample3	sample4	clusterID
mut0	1	1	1	1	1	0
mut1	1	1	1	1	1	0
mut2	1	1	1	1	1	0
mut3	1	1	1	1	1	0
mut4	1	1	1	1	1	0
mut5	0.305259	0.975502	0.916803	0.0768064	0.0383553	1
mut6	0.305259	0.975502	0.916803	0.0768064	0.0383553	1
mut7	0.305259	0.975502	0.916803	0.0768064	0.0383553	1
mut8	0.305259	0.975502	0.916803	0.0768064	0.0383553	1
mut9	0.305259	0.975502	0.916803	0.0768064	0.0383553	1
mut10	0.633635	0.00678331	0.0622861	0.103141	0.89999	2
mut11	0.633635	0.00678331	0.0622861	0.103141	0.89999	2
mut12	0.633635	0.00678331	0.0622861	0.103141	0.89999	2
mut13	0.633635	0.00678331	0.0622861	0.103141	0.89999	2
mut14	0.633635	0.00678331	0.0622861	0.103141	0.89999	2
mut15	0.0191873	0.560038	0.0124626	0.0199064	0.00529089	3
mut16	0.0191873	0.560038	0.0124626	0.0199064	0.00529089	3
mut17	0.0191873	0.560038	0.0124626	0.0199064	0.00529089	3
mut18	0.0191873	0.560038	0.0124626	0.0199064	0.00529089	3
mut19	0.0191873	0.560038	0.0124626	0.0199064	0.00529089	3
mut20	0.195019	0.118255	0.810398	0.0356908	0.0204557	4
mut21	0.195019	0.118255	0.810398	0.0356908	0.0204557	4
mut22	0.195019	0.118255	0.810398	0.0356908	0.0204557	4
mut23	0.195019	0.118255	0.810398	0.0356908	0.0204557	4
mut24	0.195019	0.118255	0.810398	0.0356908	0.0204557	4
mut25	0.0330939	0.0114361	0.0138976	0.802198	0.0171326	5
mut26	0.0330939	0.0114361	0.0138976	0.802198	0.0171326	5
mut27	0.0330939	0.0114361	0.0138976	0.802198	0.0171326	5
mut28	0.0330939	0.0114361	0.0138976	0.802198	0.0171326	5
mut29	0.0330939	0.0114361	0.0138976	0.802198	0.0171326	5
mut30	0.0161151	0.00517349	0.00682337	0.72227	0.00639816	6
mut31	0.0161151	0.00517349	0.00682337	0.72227	0.00639816	6
mut32	0.0161151	0.00517349	0.00682337	0.72227	0.00639816	6
mut33	0.0161151	0.00517349	0.00682337	0.72227	0.00639816	6
mut34	0.0161151	0.00517349	0.00682337	0.72227	0.00639816	6
