clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	0.957631	0.947378	1	0.99445	0.971957	1	0.947856	0.916392	0.944299
1	0.0493881	0.0543259	0.00886807	0.0223693	0.0197317	0.047031	0.0364282	0.0152763	0.476923	0.168726
2	0.95951	0.881774	1	0.92716	0.899126	0.909679	0.996889	1	0.515911	0.809951
3	0.764731	0.644189	0.871274	0.836202	0.79861	0.562866	0.769507	0.960114	0.493649	0.123368
4	0.393738	0.154458	0.721888	0.0635759	0.0538474	0.153939	0.0958283	0.0383116	0.346822	0.0143665
5	0.0877406	0.10176	0.799755	0.0423989	0.0343684	0.0987314	0.058503	0.0249629	0.0528868	0.00898703
6	0.0466164	0.0574156	0.00864541	0.0237072	0.0165942	0.0432317	0.0318244	0.0130979	0.0090777	0.402062
7	0.0463019	0.0507833	0.352184	0.0217884	0.0201118	0.0471125	0.0294111	0.0120548	0.0104738	0.00476549
8	0.227803	0.264579	0.125931	0.71379	0.758888	0.23055	0.60152	0.835035	0.0452273	0.0258141
9	0.0495474	0.0516383	0.0890413	0.021653	0.018729	0.0411997	0.031686	0.0582412	0.0120789	0.00526464
10	0.15326	0.162094	0.032515	0.200852	0.759272	0.125579	0.583716	0.60899	0.0268265	0.0153372
11	0.101801	0.105978	0.0168895	0.0488298	0.040068	0.278678	0.0624763	0.0229459	0.0184903	0.25172
12	0.0462303	0.0505313	0.0134952	0.0256339	0.153207	0.0460727	0.0335653	0.0368014	0.00921228	0.00520537
13	0.0498654	0.0561248	0.00848121	0.022965	0.0205144	0.250478	0.0331401	0.012209	0.0100742	0.153033
14	0.0472239	0.0538661	0.00891173	0.0206846	0.0891753	0.046152	0.482072	0.0275278	0.00976978	0.00526815
15	0.049663	0.0554144	0.0342244	0.0260592	0.0199949	0.10418	0.0539713	0.0153165	0.00852787	0.0981344
