clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.0120944	0.0296056	0.0192319	0.6174	0.0137961	0.0801345	0.0333278	0.435108	0.0298746	0.0358054	0.0143891	0.937502	0.0102317	0.0178195	0.0384984
2	0.0540237	0.779427	0.0251667	0.309069	0.0212742	0.886512	0.0904447	0.477218	0.0352342	0.900458	0.125369	0.0259315	0.0106571	0.622993	0.26772
3	0.926901	0.18194	0.945319	0.0613412	0.959099	0.0278579	0.860097	0.0749801	0.920648	0.056772	0.855001	0.0308118	0.974085	0.351496	0.685226
4	0.538086	0.154255	0.744849	0.0250854	0.319876	0.0134007	0.80542	0.0297756	0.540179	0.0373484	0.810036	0.0121508	0.211936	0.321123	0.651001
5	0.363211	0.0179586	0.187148	0.0243872	0.61773	0.0096708	0.0365797	0.0298891	0.362025	0.0130524	0.0331882	0.011951	0.755716	0.0205188	0.0230235
6	0.182127	0.00937488	0.137055	0.0120342	0.356074	0.00456683	0.0183407	0.0148708	0.220969	0.00623534	0.0168197	0.00589963	0.620572	0.0091542	0.0114432
7	0.045882	0.737995	0.0146847	0.285949	0.0148625	0.82008	0.0743177	0.462808	0.0204458	0.855128	0.115451	0.0197105	0.00605718	0.588834	0.250382
8	0.270626	0.0428179	0.557448	0.0118231	0.184098	0.00484326	0.69696	0.0142945	0.331571	0.00942483	0.415075	0.00605521	0.17164	0.09936	0.351315
9	0.00600013	0.0202877	0.0100559	0.58432	0.0068498	0.0703355	0.0170451	0.417953	0.0148414	0.0285973	0.00879599	0.89449	0.00483476	0.011135	0.0284244
