clusterID	sample0	sample1	sample2	sample3	sample4
0	0.990752	1	1	0.938814	0.999999
1	0.0199066	0.030825	0.0177529	0.0106692	0.778808
2	0.90563	0.917227	0.961129	0.427533	0.254921
3	0.694574	0.271839	0.139575	0.0219291	0.159571
4	0.535244	0.248005	0.139886	0.0107802	0.01179
5	0.212231	0.595273	0.756264	0.131083	0.0458098
6	0.178425	0.597225	0.790763	0.100303	0.0382882
7	0.0661164	0.53335	0.594916	0.0973288	0.0252429
8	0.0312007	0.152534	0.0884494	0.0806794	0.0185276
9	0.0135513	0.0288924	0.0332418	0.0648534	0.00930403
10	0.0186093	0.0269522	0.0172433	0.470384	0.0108224
