clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.973986	1	0.964123	0.981726	1	0.99792	1	1	1	0.932881
1	0.82032	0.180835	0.0169668	0.0351227	0.0291844	0.013154	0.00968726	0.0455604	0.0113492	0.0658326
2	0.913931	0.173978	0.00908617	0.0164404	0.012368	0.00694095	0.00501426	0.0235581	0.00627775	0.0327158
3	0.0499671	0.654131	1	0.6041	0.0818974	0.865658	0.0206656	0.783496	1	0.587294
4	0.0337161	0.638687	0.123006	0.0181786	0.0117767	0.00653767	0.0053884	0.0327936	0.735027	0.0310994
5	0.00680679	0.0131897	0.700291	0.0753238	0.0135779	0.119642	0.00544136	0.593022	0.100864	0.125189
6	0.0451389	0.0808452	0.0507549	0.374601	0.825603	0.0590584	1	0.205099	0.0731098	0.288462
7	0.0170391	0.0349998	0.0219129	0.265947	0.744048	0.0292393	0.0148578	0.0797262	0.0158754	0.127193
8	0.0262923	0.0402093	0.0247309	0.0681578	0.0719229	0.0246119	0.962471	0.0951666	0.0438862	0.127433
9	0.00645639	0.0120135	0.00587391	0.0224469	0.0302106	0.00642642	0.0587348	0.0230581	0.0327659	0.0347608
10	0.0119741	0.0210197	0.0142063	0.163257	0.710596	0.0152769	0.0105554	0.0460219	0.0105313	0.0756092
11	0.00628842	0.0122119	0.00729776	0.0218666	0.17175	0.00740731	0.00479183	0.0278126	0.00557046	0.030342
12	0.0126691	0.0232477	0.0134123	0.032494	0.0271337	0.0142661	0.96169	0.0423284	0.0114604	0.06324
13	0.00666856	0.012568	0.0197584	0.434723	0.0489824	0.749658	0.00439533	0.126629	0.00506901	0.403243
14	0.00573708	0.009491	0.00680942	0.0164374	0.0112811	0.00604734	0.717128	0.0228113	0.0052024	0.0341734
