clusterID	sample0	sample1	sample2	sample3	sample4
0	0.969755	1	1	0.989894	1
1	0.941068	0.0547588	0.152694	0.23328	0.991743
2	0.716089	0.0109567	0.0413859	0.0713697	0.0244211
3	0.076008	0.939396	0.855352	0.691176	0.0678047
4	0.0241829	0.941536	0.875166	0.393427	0.0417122
5	0.590852	0.0059884	0.0171257	0.029457	0.0126022
6	0.00895989	0.426012	0.112469	0.0338868	0.0171452
7	0.268303	0.0413311	0.0872071	0.137301	0.832914
8	0.203511	0.0297026	0.0643071	0.0984383	0.94348
9	0.00681217	0.109164	0.72462	0.220584	0.0135818
10	0.0382497	0.0108808	0.0180442	0.333924	0.0135789
11	0.0290595	0.0114708	0.0417022	0.0589888	0.763632
12	0.00736231	0.00642885	0.0208282	0.0337405	0.255732
