clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	1	0.950454	1	1	0.926444	0.915073	0.91778	0.98337	0.992241	1	0.929975
1	0.0974009	0.134689	0.048386	0.0395854	0.0829748	0.067111	0.0298038	0.376667	0.130242	0.0173867	0.043448	0.0439602	0.0220115	0.55334	0.141183
2	0.887396	0.687459	0.842799	0.943254	0.792692	0.840621	1	0.592026	0.724467	0.831933	0.84096	0.911389	1	0.148825	0.743335
3	0.769135	0.76598	0.895061	0.857779	0.874236	0.585453	1	0.543058	0.770217	0.939305	0.825213	0.797694	0.969631	0.146523	0.809126
4	0.809663	0.378632	0.428571	0.958769	0.818921	0.123625	0.96729	0.539636	0.26846	0.820208	0.956053	0.0950998	1	0.111549	0.515781
5	0.0919248	0.083697	0.0307985	0.0299262	0.0488747	0.0417067	0.0199166	0.391335	0.093371	0.0115379	0.0290852	0.0245242	0.0148999	0.526997	0.0914714
6	0.658718	0.0504748	0.0130204	0.0251608	0.0224077	0.0214571	0.177685	0.457597	0.0421265	0.00642937	0.0156823	0.0134986	0.907985	0.0631033	0.0404746
7	0.0862076	0.0468738	0.0136598	0.0127913	0.0209423	0.0222876	0.0102775	0.314127	0.0464926	0.00626808	0.0153183	0.0136735	0.00749075	0.480634	0.0438765
8	0.00582369	0.0506849	0.399168	0.0136748	0.0259571	0.0244542	0.00913685	0.0143051	0.434605	0.00793311	0.0141589	0.768729	0.00774915	0.00896363	0.0478185
9	0.0291461	0.178258	0.357106	0.881361	0.715203	0.0902874	0.232152	0.0597667	0.172926	0.940526	0.818538	0.0642582	0.0348456	0.0374055	0.210203
10	0.00896927	0.0449451	0.0198171	0.731281	0.0236181	0.0201585	0.0237916	0.0157568	0.0437199	0.130189	0.0185554	0.0145528	0.0139757	0.00941389	0.038169
11	0.0121117	0.0897951	0.0991858	0.033106	0.69794	0.0447298	0.0196361	0.0311089	0.0851243	0.0919977	0.705659	0.0279163	0.0132649	0.0153537	0.0873344
12	0.00500513	0.0521485	0.0127189	0.0150954	0.0257252	0.0215119	0.00890555	0.0167087	0.0445228	0.0060627	0.0652708	0.0129996	0.00658052	0.00883733	0.0448644
13	0.0717282	0.0654348	0.0332023	0.0111422	0.0536347	0.0215059	0.00883841	0.0162472	0.0443566	0.0625166	0.0151534	0.101246	0.00791091	0.291587	0.0429901
