clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	0.951801	1	1	0.909998	0.928696	0.934562	1	1	0.94045	0.924818	0.999043	0.95527	1	0.953921	1
1	0.0697894	0.00958683	0.00843787	0.0205764	0.0455209	0.00608976	0.0143987	0.505958	0.0453412	0.0191734	0.0344426	0.00957373	0.0107043	0.0161762	0.42462
2	0.77441	0.944542	0.944831	0.924149	0.865853	0.890615	0.972105	0.410544	0.835382	0.870583	0.925935	0.983709	1	0.967141	0.397476
3	0.778903	1	0.971469	0.913927	0.855588	0.920262	0.998921	0.369514	0.914694	0.912004	0.925177	1	0.951414	0.939234	0.311073
4	0.314481	0.152808	0.944914	0.0763593	0.326989	0.0237418	0.052955	0.142641	0.393003	0.770623	0.318144	0.830866	0.0463661	0.0716824	0.156514
5	0.414248	0.678676	0.0543374	0.892241	0.502285	0.92891	0.950735	0.20012	0.43384	0.122527	0.503886	0.0658024	0.825215	0.907918	0.132545
6	0.212795	0.0960758	0.98891	0.0587324	0.325983	0.0193549	0.0475206	0.104445	0.156751	0.775053	0.294834	0.842591	0.0319954	0.0503145	0.0623197
7	0.0709206	0.664864	0.00982031	0.0244418	0.134206	0.00714801	0.0124058	0.0335559	0.193434	0.0193742	0.145973	0.0125013	0.0101189	0.023793	0.0249335
8	0.0662809	0.0101575	0.697962	0.0198368	0.0489035	0.00618624	0.0163903	0.0379984	0.0497234	0.456996	0.0324177	0.118862	0.0102657	0.0152041	0.0228402
9	0.17948	0.0336229	0.0297275	0.768472	0.232962	0.749245	0.233087	0.106624	0.148265	0.0659762	0.376308	0.0284816	0.936619	0.652563	0.0672314
10	0.0693702	0.0114203	0.008598	0.456607	0.133466	0.0315444	0.014398	0.0351964	0.0532648	0.0217068	0.250544	0.00977887	0.108434	0.116095	0.0228899
11	0.0633578	0.0158842	0.118247	0.0209059	0.192878	0.00746397	0.0144225	0.0374009	0.045661	0.0206019	0.200531	0.642058	0.0108613	0.0160885	0.023451
12	0.0639094	0.0101041	0.00812967	0.135959	0.048915	0.484426	0.0521421	0.0323309	0.0392918	0.0222604	0.0365973	0.0105491	0.708045	0.141796	0.0230599
13	0.068072	0.00939768	0.00944281	0.0225158	0.0509899	0.147645	0.552107	0.0384052	0.0469345	0.0191142	0.0325015	0.00928032	0.0116811	0.0541695	0.0231851
