mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	0
mut5	0.0100979	0.633413	0.0389362	0.0135646	0.0593569	0.0122025	0.890614	0.0176861	0.0105463	0.0187115	1
mut6	0.0100979	0.633413	0.0389362	0.0135646	0.0593569	0.0122025	0.890614	0.0176861	0.0105463	0.0187115	1
mut7	0.0100979	0.633413	0.0389362	0.0135646	0.0593569	0.0122025	0.890614	0.0176861	0.0105463	0.0187115	1
mut8	0.0100979	0.633413	0.0389362	0.0135646	0.0593569	0.0122025	0.890614	0.0176861	0.0105463	0.0187115	1
mut9	0.0100979	0.633413	0.0389362	0.0135646	0.0593569	0.0122025	0.890614	0.0176861	0.0105463	0.0187115	1
mut10	0.109598	0.131655	0.0918372	0.00606391	0.0265987	0.492232	0.0152305	0.00863469	0.00672634	0.0101661	2
mut11	0.109598	0.131655	0.0918372	0.00606391	0.0265987	0.492232	0.0152305	0.00863469	0.00672634	0.0101661	2
mut12	0.109598	0.131655	0.0918372	0.00606391	0.0265987	0.492232	0.0152305	0.00863469	0.00672634	0.0101661	2
mut13	0.109598	0.131655	0.0918372	0.00606391	0.0265987	0.492232	0.0152305	0.00863469	0.00672634	0.0101661	2
mut14	0.109598	0.131655	0.0918372	0.00606391	0.0265987	0.492232	0.0152305	0.00863469	0.00672634	0.0101661	2
mut15	0.00486779	0.516795	0.0264661	0.00678359	0.0319736	0.00521323	0.866265	0.00924316	0.00515519	0.00878562	3
mut16	0.00486779	0.516795	0.0264661	0.00678359	0.0319736	0.00521323	0.866265	0.00924316	0.00515519	0.00878562	3
mut17	0.00486779	0.516795	0.0264661	0.00678359	0.0319736	0.00521323	0.866265	0.00924316	0.00515519	0.00878562	3
mut18	0.00486779	0.516795	0.0264661	0.00678359	0.0319736	0.00521323	0.866265	0.00924316	0.00515519	0.00878562	3
mut19	0.00486779	0.516795	0.0264661	0.00678359	0.0319736	0.00521323	0.866265	0.00924316	0.00515519	0.00878562	3
mut20	0.428823	0.172425	0.802991	0.0174853	0.445482	0.3051	0.0275752	0.390004	0.105973	0.0257383	4
mut21	0.428823	0.172425	0.802991	0.0174853	0.445482	0.3051	0.0275752	0.390004	0.105973	0.0257383	4
mut22	0.428823	0.172425	0.802991	0.0174853	0.445482	0.3051	0.0275752	0.390004	0.105973	0.0257383	4
mut23	0.428823	0.172425	0.802991	0.0174853	0.445482	0.3051	0.0275752	0.390004	0.105973	0.0257383	4
mut24	0.428823	0.172425	0.802991	0.0174853	0.445482	0.3051	0.0275752	0.390004	0.105973	0.0257383	4
mut25	0.0442279	0.134158	0.597105	0.00657047	0.413937	0.027335	0.0141961	0.20551	0.0245373	0.0164441	5
mut26	0.0442279	0.134158	0.597105	0.00657047	0.413937	0.027335	0.0141961	0.20551	0.0245373	0.0164441	5
mut27	0.0442279	0.134158	0.597105	0.00657047	0.413937	0.027335	0.0141961	0.20551	0.0245373	0.0164441	5
mut28	0.0442279	0.134158	0.597105	0.00657047	0.413937	0.027335	0.0141961	0.20551	0.0245373	0.0164441	5
mut29	0.0442279	0.134158	0.597105	0.00657047	0.413937	0.027335	0.0141961	0.20551	0.0245373	0.0164441	5
mut30	0.140898	0.0373576	0.0491793	0.375244	0.411831	0.0227991	0.0393155	0.550742	0.466725	0.925036	6
mut31	0.140898	0.0373576	0.0491793	0.375244	0.411831	0.0227991	0.0393155	0.550742	0.466725	0.925036	6
mut32	0.140898	0.0373576	0.0491793	0.375244	0.411831	0.0227991	0.0393155	0.550742	0.466725	0.925036	6
mut33	0.140898	0.0373576	0.0491793	0.375244	0.411831	0.0227991	0.0393155	0.550742	0.466725	0.925036	6
mut34	0.140898	0.0373576	0.0491793	0.375244	0.411831	0.0227991	0.0393155	0.550742	0.466725	0.925036	6
mut35	0.022042	0.0240786	0.0362672	0.0735611	0.385725	0.0108357	0.0263289	0.297095	0.102014	0.912176	7
mut36	0.022042	0.0240786	0.0362672	0.0735611	0.385725	0.0108357	0.0263289	0.297095	0.102014	0.912176	7
mut37	0.022042	0.0240786	0.0362672	0.0735611	0.385725	0.0108357	0.0263289	0.297095	0.102014	0.912176	7
mut38	0.022042	0.0240786	0.0362672	0.0735611	0.385725	0.0108357	0.0263289	0.297095	0.102014	0.912176	7
