clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.926094	0.980755	0.996134	1	0.948029	0.987713	0.949633	0.961905	1	1
1	0.868508	0.840588	0.954974	0.309809	0.925359	0.856616	0.897502	0.118365	0.713439	0.89324
2	0.0969624	0.0661406	0.0519407	0.66663	0.0404163	0.183873	0.071557	0.904578	0.286527	0.0434735
3	0.0870834	0.0575833	0.0478786	0.554231	0.031116	0.155839	0.0537535	0.888716	0.234783	0.0378162
4	0.0636152	0.0326756	0.0322278	0.469232	0.0253549	0.112358	0.0453369	0.811696	0.174172	0.0215973
5	0.831501	0.146082	0.919335	0.212522	0.911433	0.0827673	0.804553	0.0828884	0.590947	0.0453481
6	0.282787	0.0113987	0.0167139	0.0605313	0.433227	0.0239118	0.014229	0.0270425	0.117882	0.00619187
7	0.0395745	0.0147763	0.0225494	0.391359	0.0142928	0.0419796	0.0250687	0.722243	0.110231	0.0139683
8	0.0202682	0.628247	0.0363158	0.0579569	0.0175299	0.622013	0.0162833	0.0229156	0.0476464	0.85695
9	0.542934	0.0776582	0.74066	0.0809503	0.317744	0.0492486	0.938116	0.0271903	0.416643	0.0220513
10	0.0219901	0.00709511	0.0103246	0.145678	0.00897329	0.0222232	0.0140177	0.174477	0.0511443	0.00628015
