clusterID	sample0	sample1	sample2	sample3	sample4
0	0.90956	1	0.939145	1	1
1	0.922564	0.143759	0.749315	0.928288	0.141324
2	0.872792	0.126446	0.727114	0.844973	0.12796
3	0.204948	0.115042	0.702615	0.906028	0.0971103
4	0.186853	0.103442	0.673369	0.758378	0.087752
5	0.0388346	0.0253395	0.320029	0.275324	0.0649526
6	0.648632	0.00814159	0.0228047	0.0172191	0.022204
7	0.0261301	0.0163824	0.270774	0.482525	0.016269
8	0.0237284	0.0166311	0.278397	0.232095	0.0505422
9	0.0806486	0.234442	0.0233087	0.018936	0.0509389
10	0.0487959	0.58183	0.143472	0.06971	0.765112
11	0.0123419	0.00710826	0.0684115	0.100384	0.0379919
12	0.013313	0.0080877	0.223763	0.449156	0.00860059
13	0.0134138	0.270749	0.0246073	0.0164764	0.350688
14	0.026604	0.343309	0.109819	0.0351657	0.345606
15	0.0122653	0.176702	0.0718254	0.0172833	0.236598
16	0.114693	0.0595136	0.0811771	0.0472733	0.00817961
