clusterID	sample0	sample1	sample2	sample3	sample4
0	0.947977	1	1	0.996234	1
1	0.102558	0.0380194	0.33754	0.176034	0.810448
2	0.900763	0.850021	0.31397	0.819185	0.153727
3	0.777327	0.949395	0.28779	0.703932	0.162916
4	0.739782	1	0.115922	0.475727	0.143617
5	0.811298	0.181226	0.0116299	0.0454089	0.113019
6	0.413232	0.0724546	0.00575004	0.0159389	0.0205949
7	0.082064	0.0287282	0.297404	0.172163	0.707046
8	0.0210819	0.650248	0.0098239	0.0183401	0.0144514
9	0.0399911	0.0147092	0.404476	0.0347441	0.0252996
10	0.0377211	0.0145451	0.188909	0.029501	0.489682
11	0.0203566	0.00679978	0.347154	0.0178636	0.0143258
12	0.0196042	0.00747793	0.115601	0.0988551	0.260064
13	0.0205829	0.00744102	0.173753	0.0134554	0.295926
