clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	0.961449	0.907884	0.919376	1	0.93048	1	0.923415	1	0.953763	0.975158	0.931106	1	1	0.963886	0.95236
1	0.365512	0.013984	0.0181735	0.0185115	0.00504839	0.0128974	0.661702	0.00766451	0.0137884	0.0148135	0.0217182	0.0134461	0.0474405	0.0195863	0.00743079
2	0.53395	1	0.997898	0.906119	1	1	0.322223	0.924731	1	0.96306	1	0.922369	0.967622	0.942688	1
3	0.448422	0.919887	0.927568	0.989559	1	1	0.290195	0.961155	0.916695	1	0.922922	0.930033	0.837406	0.993253	0.966616
4	0.424917	0.950642	0.942157	0.922871	1	0.895977	0.269969	0.885788	0.999727	0.960053	0.836338	0.961888	0.713216	1	0.884028
5	0.257305	0.911031	0.763221	0.699629	0.098438	0.0941116	0.142623	0.878485	0.813757	0.929652	0.144655	0.0735683	0.5308	0.730912	0.895932
6	0.0808708	0.0271112	0.730005	0.0351735	0.0103482	0.0271396	0.0488004	0.0346247	0.376895	0.028836	0.0420826	0.020323	0.105551	0.193998	0.621333
7	0.0773377	0.870121	0.0555446	0.034682	0.0123205	0.0283124	0.0527706	0.778129	0.420257	0.267004	0.046899	0.0215889	0.0990994	0.491354	0.307568
8	0.0356756	0.664901	0.019715	0.0182337	0.00592752	0.0147164	0.0262395	0.510905	0.40403	0.0406422	0.0229979	0.0129973	0.0437495	0.372202	0.198103
9	0.035778	0.0155243	0.0830179	0.0165536	0.00439711	0.0126681	0.0236521	0.0200789	0.331404	0.0157447	0.0259476	0.00981701	0.0510485	0.137772	0.424986
10	0.174426	0.054882	0.0771542	0.140952	0.916657	0.775203	0.115904	0.0304416	0.0659754	0.0630023	0.709132	0.898455	0.21427	0.0831569	0.0272346
11	0.0341805	0.0191521	0.0190375	0.742982	0.0716572	0.0200039	0.0240168	0.0504346	0.0155103	0.593758	0.0328162	0.0142114	0.0541304	0.0294379	0.0151755
12	0.0753582	0.0240145	0.0358458	0.106107	0.861095	0.35151	0.0536302	0.0161329	0.0319193	0.030432	0.64903	0.189346	0.093902	0.0424366	0.0142353
13	0.037627	0.0124379	0.0184746	0.0309007	0.428456	0.175637	0.0250766	0.00920659	0.0156819	0.0158585	0.408632	0.0573867	0.0512519	0.0190816	0.00747365
14	0.0376419	0.0123387	0.0203686	0.0173656	0.0138274	0.393585	0.0247053	0.00644223	0.0168803	0.0159429	0.056525	0.646665	0.0498669	0.0217304	0.00760808
