mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut5	0.558087	0.0679876	0.839451	0.120576	0.706439	0.176925	0.713408	0.147383	0.690516	0.15128	0.77133	0.0888346	0.68693	0.174556	0.693136	1
mut6	0.558087	0.0679876	0.839451	0.120576	0.706439	0.176925	0.713408	0.147383	0.690516	0.15128	0.77133	0.0888346	0.68693	0.174556	0.693136	1
mut7	0.558087	0.0679876	0.839451	0.120576	0.706439	0.176925	0.713408	0.147383	0.690516	0.15128	0.77133	0.0888346	0.68693	0.174556	0.693136	1
mut8	0.558087	0.0679876	0.839451	0.120576	0.706439	0.176925	0.713408	0.147383	0.690516	0.15128	0.77133	0.0888346	0.68693	0.174556	0.693136	1
mut9	0.558087	0.0679876	0.839451	0.120576	0.706439	0.176925	0.713408	0.147383	0.690516	0.15128	0.77133	0.0888346	0.68693	0.174556	0.693136	1
mut10	0.164061	0.876864	0.104754	0.671902	0.0986792	0.629847	0.215233	0.613619	0.139096	0.619356	0.181752	0.766525	0.116898	0.707178	0.127105	2
mut11	0.164061	0.876864	0.104754	0.671902	0.0986792	0.629847	0.215233	0.613619	0.139096	0.619356	0.181752	0.766525	0.116898	0.707178	0.127105	2
mut12	0.164061	0.876864	0.104754	0.671902	0.0986792	0.629847	0.215233	0.613619	0.139096	0.619356	0.181752	0.766525	0.116898	0.707178	0.127105	2
mut13	0.164061	0.876864	0.104754	0.671902	0.0986792	0.629847	0.215233	0.613619	0.139096	0.619356	0.181752	0.766525	0.116898	0.707178	0.127105	2
mut14	0.164061	0.876864	0.104754	0.671902	0.0986792	0.629847	0.215233	0.613619	0.139096	0.619356	0.181752	0.766525	0.116898	0.707178	0.127105	2
