clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.963429	1	1	1	1	0.96019	1	0.914716	0.964641	0.913757
1	0.993606	1	0.943409	1	1	1	0.960209	0.942144	0.960983	0.897279
2	0.900636	0.975149	0.916047	0.906102	0.945148	1	1	0.929747	1	1
3	0.954601	0.848397	0.969605	0.902613	0.9555	0.933012	0.885174	0.960288	0.949041	0.923104
4	0.800587	0.916153	0.75858	0.8452	1	0.685589	0.131715	0.887508	0.842848	0.719157
5	0.838986	0.134745	0.13531	0.642625	0.981159	0.0566595	0.0404904	0.755668	0.792839	0.0240531
6	0.727923	0.0213834	0.0273074	0.0289204	0.661717	0.0161843	0.0119552	0.0213161	0.340878	0.0056599
7	0.0397131	0.0459231	0.154537	0.0593241	0.0189263	0.254227	0.833388	0.0404517	0.0441644	0.236922
8	0.0200816	0.727742	0.576936	0.192092	0.00830125	0.486057	0.0877909	0.121919	0.0250025	0.711035
9	0.0206089	0.025869	0.127977	0.036822	0.00792073	0.155259	0.652236	0.0206011	0.0207769	0.216669
10	0.106884	0.0506185	0.0723588	0.506094	0.0964555	0.0211113	0.0128126	0.58166	0.0957625	0.0104098
