clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.906186	1	1	1
1	0.604643	0.0101676	0.0335774	0.279733	0.00680729
2	0.395129	0.891207	0.959336	0.633509	0.902285
3	0.401614	1	0.912785	0.569153	0.967987
4	0.235227	0.921672	0.92022	0.440468	0.997064
5	0.211168	0.968485	0.894203	0.382729	0.90695
6	0.136765	0.180337	0.70831	0.247094	0.075262
7	0.103874	0.108864	0.539907	0.171318	0.0201559
8	0.0321903	0.679476	0.0305837	0.0634967	0.313745
9	0.0744554	0.0442305	0.0826412	0.120207	0.0118362
10	0.0460558	0.0269632	0.0288274	0.0569173	0.00596327
