clusterID	sample0	sample1	sample2	sample3	sample4
0	1	0.90569	0.989095	1	1
1	0.928893	1	1	0.980895	1
2	0.845655	0.646241	1	0.199358	1
3	0.813188	0.628304	1	0.180106	0.908966
4	0.746541	0.464784	0.877442	0.171409	0.94598
5	0.452069	0.0728753	0.0162878	0.0233812	0.00595683
6	0.170842	0.279124	0.894528	0.0620391	0.887407
7	0.0387803	0.130346	0.0158157	0.350845	0.0060325
8	0.0700315	0.0840304	0.459939	0.0225379	0.0802399
9	0.0570809	0.0817241	0.0135395	0.356739	0.0058942
10	0.0380411	0.0861458	0.146454	0.0171405	0.689769
11	0.0375951	0.0678229	0.0143881	0.0703316	0.0189043
