clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	0.971412
1	1	0.608787	0.831857	0.983169	0.293484
2	0.065707	0.325725	0.0651321	0.0699263	0.694009
3	0.848574	0.376528	0.792368	0.829253	0.088683
4	0.774375	0.0745656	0.819187	0.810527	0.0795914
5	0.311311	0.00450114	0.018554	0.0086872	0.00835051
6	0.231697	0.0256662	0.0766908	0.811932	0.0343286
7	0.00558016	0.252565	0.0832147	0.00908762	0.0115772
8	0.0417045	0.0162815	0.0452189	0.742405	0.0224117
9	0.0232347	0.0351207	0.606486	0.0089212	0.0288775
10	0.0622841	0.242344	0.0477319	0.0539194	0.527185
11	0.111065	0.254038	0.0306605	0.059766	0.199246
12	0.0109489	0.0104771	0.0343785	0.738998	0.0151287
13	0.00516986	0.00627201	0.014749	0.425961	0.00673475
14	0.0870376	0.13971	0.0152767	0.0483662	0.0998957
15	0.0478016	0.12331	0.0386728	0.0485938	0.298439
